event,ordinal,token,cycle,group,item
accumulate,128,0,127420,1,8
dispatch,128,0,127420,1,11
multiply,128,0,127420,1,9
combine,128,0,127421,1,9
read,128,0,127421,1,12
response,128,0,127421,1,10
accumulate,128,0,127422,1,9
dispatch,128,0,127422,1,12
multiply,128,0,127422,1,10
combine,128,0,127423,1,10
read,128,0,127423,1,13
response,128,0,127423,1,11
accumulate,128,0,127424,1,10
dispatch,128,0,127424,1,13
multiply,128,0,127424,1,11
combine,128,0,127425,1,11
read,128,0,127425,1,14
response,128,0,127425,1,12
accumulate,128,0,127426,1,11
dispatch,128,0,127426,1,14
multiply,128,0,127426,1,12
combine,128,0,127427,1,12
read,128,0,127427,1,15
response,128,0,127427,1,13
accumulate,128,0,127428,1,12
chunk,128,0,127428,1,1
dispatch,128,0,127428,1,15
multiply,128,0,127428,1,13
combine,128,0,127429,1,13
read,128,0,127429,1,16
response,128,0,127429,1,14
accumulate,128,0,127430,1,13
dispatch,128,0,127430,1,16
multiply,128,0,127430,1,14
combine,128,0,127431,1,14
read,128,0,127431,1,17
response,128,0,127431,1,15
accumulate,128,0,127432,1,14
dispatch,128,0,127432,1,17
multiply,128,0,127432,1,15
combine,128,0,127433,1,15
read,128,0,127433,1,18
response,128,0,127433,1,16
accumulate,128,0,127434,1,15
dispatch,128,0,127434,1,18
multiply,128,0,127434,1,16
combine,128,0,127435,1,16
read,128,0,127435,1,19
response,128,0,127435,1,17
accumulate,128,0,127436,1,16
dispatch,128,0,127436,1,19
multiply,128,0,127436,1,17
combine,128,0,127437,1,17
response,128,0,127437,1,18
accumulate,128,0,127438,1,17
multiply,128,0,127438,1,18
combine,128,0,127439,1,18
response,128,0,127439,1,19
accumulate,128,0,127440,1,18
multiply,128,0,127440,1,19
combine,128,0,127441,1,19
last,128,0,127442,1,19
bias,128,0,127443,1,-1
restart,128,0,127443,1,-1
add,128,0,127444,1,-1
group,128,0,127444,2,-1
chunk,128,0,127445,2,0
round,128,0,127445,1,-1
collect,128,0,127446,1,-1
read,128,0,127446,2,0
dispatch,128,0,127447,2,0
read,128,0,127448,2,1
dispatch,128,0,127449,2,1
read,128,0,127450,2,2
response,128,0,127450,2,0
dispatch,128,0,127451,2,2
multiply,128,0,127451,2,0
combine,128,0,127452,2,0
read,128,0,127452,2,3
response,128,0,127452,2,1
accumulate,128,0,127453,2,0
dispatch,128,0,127453,2,3
multiply,128,0,127453,2,1
combine,128,0,127454,2,1
read,128,0,127454,2,4
response,128,0,127454,2,2
accumulate,128,0,127455,2,1
dispatch,128,0,127455,2,4
multiply,128,0,127455,2,2
combine,128,0,127456,2,2
read,128,0,127456,2,5
response,128,0,127456,2,3
accumulate,128,0,127457,2,2
dispatch,128,0,127457,2,5
multiply,128,0,127457,2,3
combine,128,0,127458,2,3
read,128,0,127458,2,6
response,128,0,127458,2,4
accumulate,128,0,127459,2,3
dispatch,128,0,127459,2,6
multiply,128,0,127459,2,4
combine,128,0,127460,2,4
read,128,0,127460,2,7
response,128,0,127460,2,5
accumulate,128,0,127461,2,4
dispatch,128,0,127461,2,7
multiply,128,0,127461,2,5
combine,128,0,127462,2,5
read,128,0,127462,2,8
response,128,0,127462,2,6
accumulate,128,0,127463,2,5
dispatch,128,0,127463,2,8
multiply,128,0,127463,2,6
combine,128,0,127464,2,6
read,128,0,127464,2,9
response,128,0,127464,2,7
accumulate,128,0,127465,2,6
dispatch,128,0,127465,2,9
multiply,128,0,127465,2,7
combine,128,0,127466,2,7
read,128,0,127466,2,10
response,128,0,127466,2,8
accumulate,128,0,127467,2,7
dispatch,128,0,127467,2,10
multiply,128,0,127467,2,8
combine,128,0,127468,2,8
read,128,0,127468,2,11
response,128,0,127468,2,9
accumulate,128,0,127469,2,8
dispatch,128,0,127469,2,11
multiply,128,0,127469,2,9
combine,128,0,127470,2,9
read,128,0,127470,2,12
response,128,0,127470,2,10
accumulate,128,0,127471,2,9
dispatch,128,0,127471,2,12
multiply,128,0,127471,2,10
combine,128,0,127472,2,10
read,128,0,127472,2,13
response,128,0,127472,2,11
accumulate,128,0,127473,2,10
dispatch,128,0,127473,2,13
multiply,128,0,127473,2,11
combine,128,0,127474,2,11
read,128,0,127474,2,14
response,128,0,127474,2,12
accumulate,128,0,127475,2,11
dispatch,128,0,127475,2,14
multiply,128,0,127475,2,12
combine,128,0,127476,2,12
read,128,0,127476,2,15
response,128,0,127476,2,13
accumulate,128,0,127477,2,12
chunk,128,0,127477,2,1
dispatch,128,0,127477,2,15
multiply,128,0,127477,2,13
combine,128,0,127478,2,13
read,128,0,127478,2,16
response,128,0,127478,2,14
accumulate,128,0,127479,2,13
dispatch,128,0,127479,2,16
multiply,128,0,127479,2,14
combine,128,0,127480,2,14
read,128,0,127480,2,17
response,128,0,127480,2,15
accumulate,128,0,127481,2,14
dispatch,128,0,127481,2,17
multiply,128,0,127481,2,15
combine,128,0,127482,2,15
read,128,0,127482,2,18
response,128,0,127482,2,16
accumulate,128,0,127483,2,15
dispatch,128,0,127483,2,18
multiply,128,0,127483,2,16
combine,128,0,127484,2,16
read,128,0,127484,2,19
response,128,0,127484,2,17
accumulate,128,0,127485,2,16
dispatch,128,0,127485,2,19
multiply,128,0,127485,2,17
combine,128,0,127486,2,17
response,128,0,127486,2,18
accumulate,128,0,127487,2,17
multiply,128,0,127487,2,18
combine,128,0,127488,2,18
response,128,0,127488,2,19
accumulate,128,0,127489,2,18
multiply,128,0,127489,2,19
combine,128,0,127490,2,19
last,128,0,127491,2,19
bias,128,0,127492,2,-1
restart,128,0,127492,2,-1
add,128,0,127493,2,-1
group,128,0,127493,3,-1
chunk,128,0,127494,3,0
round,128,0,127494,2,-1
collect,128,0,127495,2,-1
read,128,0,127495,3,0
dispatch,128,0,127496,3,0
read,128,0,127497,3,1
dispatch,128,0,127498,3,1
read,128,0,127499,3,2
response,128,0,127499,3,0
dispatch,128,0,127500,3,2
multiply,128,0,127500,3,0
combine,128,0,127501,3,0
read,128,0,127501,3,3
response,128,0,127501,3,1
accumulate,128,0,127502,3,0
dispatch,128,0,127502,3,3
multiply,128,0,127502,3,1
combine,128,0,127503,3,1
read,128,0,127503,3,4
response,128,0,127503,3,2
accumulate,128,0,127504,3,1
dispatch,128,0,127504,3,4
multiply,128,0,127504,3,2
combine,128,0,127505,3,2
read,128,0,127505,3,5
response,128,0,127505,3,3
accumulate,128,0,127506,3,2
dispatch,128,0,127506,3,5
multiply,128,0,127506,3,3
combine,128,0,127507,3,3
read,128,0,127507,3,6
response,128,0,127507,3,4
accumulate,128,0,127508,3,3
dispatch,128,0,127508,3,6
multiply,128,0,127508,3,4
combine,128,0,127509,3,4
read,128,0,127509,3,7
response,128,0,127509,3,5
accumulate,128,0,127510,3,4
dispatch,128,0,127510,3,7
multiply,128,0,127510,3,5
combine,128,0,127511,3,5
read,128,0,127511,3,8
response,128,0,127511,3,6
accumulate,128,0,127512,3,5
dispatch,128,0,127512,3,8
multiply,128,0,127512,3,6
combine,128,0,127513,3,6
read,128,0,127513,3,9
response,128,0,127513,3,7
accumulate,128,0,127514,3,6
dispatch,128,0,127514,3,9
multiply,128,0,127514,3,7
combine,128,0,127515,3,7
read,128,0,127515,3,10
response,128,0,127515,3,8
accumulate,128,0,127516,3,7
dispatch,128,0,127516,3,10
multiply,128,0,127516,3,8
combine,128,0,127517,3,8
read,128,0,127517,3,11
response,128,0,127517,3,9
accumulate,128,0,127518,3,8
dispatch,128,0,127518,3,11
multiply,128,0,127518,3,9
combine,128,0,127519,3,9
read,128,0,127519,3,12
response,128,0,127519,3,10
accumulate,128,0,127520,3,9
dispatch,128,0,127520,3,12
multiply,128,0,127520,3,10
combine,128,0,127521,3,10
read,128,0,127521,3,13
response,128,0,127521,3,11
accumulate,128,0,127522,3,10
dispatch,128,0,127522,3,13
multiply,128,0,127522,3,11
combine,128,0,127523,3,11
read,128,0,127523,3,14
response,128,0,127523,3,12
accumulate,128,0,127524,3,11
dispatch,128,0,127524,3,14
multiply,128,0,127524,3,12
combine,128,0,127525,3,12
read,128,0,127525,3,15
response,128,0,127525,3,13
accumulate,128,0,127526,3,12
chunk,128,0,127526,3,1
dispatch,128,0,127526,3,15
multiply,128,0,127526,3,13
combine,128,0,127527,3,13
read,128,0,127527,3,16
response,128,0,127527,3,14
accumulate,128,0,127528,3,13
dispatch,128,0,127528,3,16
multiply,128,0,127528,3,14
combine,128,0,127529,3,14
read,128,0,127529,3,17
response,128,0,127529,3,15
accumulate,128,0,127530,3,14
dispatch,128,0,127530,3,17
multiply,128,0,127530,3,15
combine,128,0,127531,3,15
read,128,0,127531,3,18
response,128,0,127531,3,16
accumulate,128,0,127532,3,15
dispatch,128,0,127532,3,18
multiply,128,0,127532,3,16
combine,128,0,127533,3,16
read,128,0,127533,3,19
response,128,0,127533,3,17
accumulate,128,0,127534,3,16
dispatch,128,0,127534,3,19
multiply,128,0,127534,3,17
combine,128,0,127535,3,17
response,128,0,127535,3,18
accumulate,128,0,127536,3,17
multiply,128,0,127536,3,18
combine,128,0,127537,3,18
response,128,0,127537,3,19
accumulate,128,0,127538,3,18
multiply,128,0,127538,3,19
combine,128,0,127539,3,19
last,128,0,127540,3,19
bias,128,0,127541,3,-1
restart,128,0,127541,3,-1
add,128,0,127542,3,-1
group,128,0,127542,4,-1
chunk,128,0,127543,4,0
round,128,0,127543,3,-1
collect,128,0,127544,3,-1
read,128,0,127544,4,0
dispatch,128,0,127545,4,0
read,128,0,127546,4,1
dispatch,128,0,127547,4,1
read,128,0,127548,4,2
response,128,0,127548,4,0
dispatch,128,0,127549,4,2
multiply,128,0,127549,4,0
combine,128,0,127550,4,0
read,128,0,127550,4,3
response,128,0,127550,4,1
accumulate,128,0,127551,4,0
dispatch,128,0,127551,4,3
multiply,128,0,127551,4,1
combine,128,0,127552,4,1
read,128,0,127552,4,4
response,128,0,127552,4,2
accumulate,128,0,127553,4,1
dispatch,128,0,127553,4,4
multiply,128,0,127553,4,2
combine,128,0,127554,4,2
read,128,0,127554,4,5
response,128,0,127554,4,3
accumulate,128,0,127555,4,2
dispatch,128,0,127555,4,5
multiply,128,0,127555,4,3
combine,128,0,127556,4,3
read,128,0,127556,4,6
response,128,0,127556,4,4
accumulate,128,0,127557,4,3
dispatch,128,0,127557,4,6
multiply,128,0,127557,4,4
combine,128,0,127558,4,4
read,128,0,127558,4,7
response,128,0,127558,4,5
accumulate,128,0,127559,4,4
dispatch,128,0,127559,4,7
multiply,128,0,127559,4,5
combine,128,0,127560,4,5
read,128,0,127560,4,8
response,128,0,127560,4,6
accumulate,128,0,127561,4,5
dispatch,128,0,127561,4,8
multiply,128,0,127561,4,6
combine,128,0,127562,4,6
read,128,0,127562,4,9
response,128,0,127562,4,7
accumulate,128,0,127563,4,6
dispatch,128,0,127563,4,9
multiply,128,0,127563,4,7
combine,128,0,127564,4,7
read,128,0,127564,4,10
response,128,0,127564,4,8
accumulate,128,0,127565,4,7
dispatch,128,0,127565,4,10
multiply,128,0,127565,4,8
combine,128,0,127566,4,8
read,128,0,127566,4,11
response,128,0,127566,4,9
accumulate,128,0,127567,4,8
dispatch,128,0,127567,4,11
multiply,128,0,127567,4,9
combine,128,0,127568,4,9
read,128,0,127568,4,12
response,128,0,127568,4,10
accumulate,128,0,127569,4,9
dispatch,128,0,127569,4,12
multiply,128,0,127569,4,10
combine,128,0,127570,4,10
read,128,0,127570,4,13
response,128,0,127570,4,11
accumulate,128,0,127571,4,10
dispatch,128,0,127571,4,13
multiply,128,0,127571,4,11
combine,128,0,127572,4,11
read,128,0,127572,4,14
response,128,0,127572,4,12
accumulate,128,0,127573,4,11
dispatch,128,0,127573,4,14
multiply,128,0,127573,4,12
combine,128,0,127574,4,12
read,128,0,127574,4,15
response,128,0,127574,4,13
accumulate,128,0,127575,4,12
chunk,128,0,127575,4,1
dispatch,128,0,127575,4,15
multiply,128,0,127575,4,13
combine,128,0,127576,4,13
read,128,0,127576,4,16
response,128,0,127576,4,14
accumulate,128,0,127577,4,13
dispatch,128,0,127577,4,16
multiply,128,0,127577,4,14
combine,128,0,127578,4,14
read,128,0,127578,4,17
response,128,0,127578,4,15
accumulate,128,0,127579,4,14
dispatch,128,0,127579,4,17
multiply,128,0,127579,4,15
combine,128,0,127580,4,15
read,128,0,127580,4,18
response,128,0,127580,4,16
accumulate,128,0,127581,4,15
dispatch,128,0,127581,4,18
multiply,128,0,127581,4,16
combine,128,0,127582,4,16
read,128,0,127582,4,19
response,128,0,127582,4,17
accumulate,128,0,127583,4,16
dispatch,128,0,127583,4,19
multiply,128,0,127583,4,17
combine,128,0,127584,4,17
response,128,0,127584,4,18
accumulate,128,0,127585,4,17
multiply,128,0,127585,4,18
combine,128,0,127586,4,18
response,128,0,127586,4,19
accumulate,128,0,127587,4,18
multiply,128,0,127587,4,19
combine,128,0,127588,4,19
last,128,0,127589,4,19
bias,128,0,127590,4,-1
restart,128,0,127590,4,-1
add,128,0,127591,4,-1
group,128,0,127591,5,-1
chunk,128,0,127592,5,0
round,128,0,127592,4,-1
collect,128,0,127593,4,-1
read,128,0,127593,5,0
dispatch,128,0,127594,5,0
read,128,0,127595,5,1
dispatch,128,0,127596,5,1
read,128,0,127597,5,2
response,128,0,127597,5,0
dispatch,128,0,127598,5,2
multiply,128,0,127598,5,0
combine,128,0,127599,5,0
read,128,0,127599,5,3
response,128,0,127599,5,1
accumulate,128,0,127600,5,0
dispatch,128,0,127600,5,3
multiply,128,0,127600,5,1
combine,128,0,127601,5,1
read,128,0,127601,5,4
response,128,0,127601,5,2
accumulate,128,0,127602,5,1
dispatch,128,0,127602,5,4
multiply,128,0,127602,5,2
combine,128,0,127603,5,2
read,128,0,127603,5,5
response,128,0,127603,5,3
accumulate,128,0,127604,5,2
dispatch,128,0,127604,5,5
multiply,128,0,127604,5,3
combine,128,0,127605,5,3
read,128,0,127605,5,6
response,128,0,127605,5,4
accumulate,128,0,127606,5,3
dispatch,128,0,127606,5,6
multiply,128,0,127606,5,4
combine,128,0,127607,5,4
read,128,0,127607,5,7
response,128,0,127607,5,5
accumulate,128,0,127608,5,4
dispatch,128,0,127608,5,7
multiply,128,0,127608,5,5
combine,128,0,127609,5,5
read,128,0,127609,5,8
response,128,0,127609,5,6
accumulate,128,0,127610,5,5
dispatch,128,0,127610,5,8
multiply,128,0,127610,5,6
combine,128,0,127611,5,6
read,128,0,127611,5,9
response,128,0,127611,5,7
accumulate,128,0,127612,5,6
dispatch,128,0,127612,5,9
multiply,128,0,127612,5,7
combine,128,0,127613,5,7
read,128,0,127613,5,10
response,128,0,127613,5,8
accumulate,128,0,127614,5,7
dispatch,128,0,127614,5,10
