stage,frame,token,input_cycle,output_cycle,elapsed_cycles
embedding,2,13,40985,42957,1972
block0,2,13,42957,47892,4935
block1,2,13,47892,50768,2876
patch_queue,2,14,40986,41972,986
embedding,2,14,41972,43944,1972
block0,2,14,43944,48879,4935
block1,2,14,48879,51755,2876
patch_queue,2,15,41973,42959,986
embedding,2,15,42959,44931,1972
block0,2,15,44931,49866,4935
block1,2,15,49866,52742,2876
head_hidden_first_token,2,0,37937,56035,18098
head_hidden_last_token,2,15,52742,56035,3293
head_output,2,0,56035,56777,742
serializer,2,0,56777,56835,58
patch_queue,3,0,42960,43946,986
embedding,3,0,43946,45918,1972
block0,3,0,45918,50853,4935
block1,3,0,50853,53729,2876
patch_queue,3,1,43947,44933,986
embedding,3,1,44933,46905,1972
block0,3,1,46905,51840,4935
block1,3,1,51840,54716,2876
patch_queue,3,2,44934,45920,986
embedding,3,2,45920,47892,1972
block0,3,2,47892,52827,4935
block1,3,2,52827,55703,2876
patch_queue,3,3,45921,46907,986
embedding,3,3,46907,48879,1972
block0,3,3,48879,53814,4935
block1,3,3,53814,56690,2876
patch_queue,3,4,46908,47894,986
embedding,3,4,47894,49866,1972
block0,3,4,49866,54801,4935
block1,3,4,54801,57677,2876
patch_queue,3,5,47895,48881,986
embedding,3,5,48881,50853,1972
block0,3,5,50853,55788,4935
block1,3,5,55788,58664,2876
patch_queue,3,6,48882,49868,986
embedding,3,6,49868,51840,1972
block0,3,6,51840,56775,4935
block1,3,6,56775,59651,2876
patch_queue,3,7,49869,50855,986
embedding,3,7,50855,52827,1972
block0,3,7,52827,57762,4935
block1,3,7,57762,60638,2876
patch_queue,3,8,50856,51842,986
embedding,3,8,51842,53814,1972
block0,3,8,53814,58749,4935
block1,3,8,58749,61625,2876
patch_queue,3,9,51843,52829,986
embedding,3,9,52829,54801,1972
block0,3,9,54801,59736,4935
block1,3,9,59736,62612,2876
patch_queue,3,10,52830,53816,986
embedding,3,10,53816,55788,1972
block0,3,10,55788,60723,4935
block1,3,10,60723,63599,2876
patch_queue,3,11,53817,54803,986
embedding,3,11,54803,56775,1972
block0,3,11,56775,61710,4935
block1,3,11,61710,64586,2876
patch_queue,3,12,54804,55790,986
embedding,3,12,55790,57762,1972
block0,3,12,57762,62697,4935
block1,3,12,62697,65573,2876
patch_queue,3,13,55791,56777,986
embedding,3,13,56777,58749,1972
block0,3,13,58749,63684,4935
block1,3,13,63684,66560,2876
patch_queue,3,14,56778,57764,986
embedding,3,14,57764,59736,1972
block0,3,14,59736,64671,4935
block1,3,14,64671,67547,2876
patch_queue,3,15,57765,58751,986
embedding,3,15,58751,60723,1972
block0,3,15,60723,65658,4935
block1,3,15,65658,68534,2876
head_hidden_first_token,3,0,53729,71827,18098
head_hidden_last_token,3,15,68534,71827,3293
head_output,3,0,71827,72569,742
serializer,3,0,72569,72627,58
patch_queue,4,0,58752,59738,986
embedding,4,0,59738,61710,1972
block0,4,0,61710,66645,4935
block1,4,0,66645,69521,2876
patch_queue,4,1,59739,60725,986
embedding,4,1,60725,62697,1972
block0,4,1,62697,67632,4935
block1,4,1,67632,70508,2876
patch_queue,4,2,60726,61712,986
embedding,4,2,61712,63684,1972
block0,4,2,63684,68619,4935
block1,4,2,68619,71495,2876
patch_queue,4,3,61713,62699,986
embedding,4,3,62699,64671,1972
block0,4,3,64671,69606,4935
block1,4,3,69606,72482,2876
patch_queue,4,4,62700,63686,986
embedding,4,4,63686,65658,1972
block0,4,4,65658,70593,4935
block1,4,4,70593,73469,2876
patch_queue,4,5,63687,64673,986
embedding,4,5,64673,66645,1972
block0,4,5,66645,71580,4935
block1,4,5,71580,74456,2876
patch_queue,4,6,64674,65660,986
embedding,4,6,65660,67632,1972
block0,4,6,67632,72567,4935
block1,4,6,72567,75443,2876
patch_queue,4,7,65661,66647,986
embedding,4,7,66647,68619,1972
block0,4,7,68619,73554,4935
block1,4,7,73554,76430,2876
patch_queue,4,8,66648,67634,986
embedding,4,8,67634,69606,1972
block0,4,8,69606,74541,4935
block1,4,8,74541,77417,2876
patch_queue,4,9,67635,68621,986
embedding,4,9,68621,70593,1972
block0,4,9,70593,75528,4935
block1,4,9,75528,78404,2876
patch_queue,4,10,68622,69608,986
embedding,4,10,69608,71580,1972
block0,4,10,71580,76515,4935
block1,4,10,76515,79391,2876
patch_queue,4,11,69609,70595,986
embedding,4,11,70595,72567,1972
block0,4,11,72567,77502,4935
block1,4,11,77502,80378,2876
patch_queue,4,12,70596,71582,986
embedding,4,12,71582,73554,1972
block0,4,12,73554,78489,4935
block1,4,12,78489,81365,2876
patch_queue,4,13,71583,72569,986
embedding,4,13,72569,74541,1972
block0,4,13,74541,79476,4935
block1,4,13,79476,82352,2876
patch_queue,4,14,72570,73556,986
embedding,4,14,73556,75528,1972
block0,4,14,75528,80463,4935
block1,4,14,80463,83339,2876
patch_queue,4,15,73557,74543,986
embedding,4,15,74543,76515,1972
block0,4,15,76515,81450,4935
block1,4,15,81450,84326,2876
head_hidden_first_token,4,0,69521,87619,18098
head_hidden_last_token,4,15,84326,87619,3293
head_output,4,0,87619,88361,742
serializer,4,0,88361,88419,58
patch_queue,5,0,74544,75530,986
embedding,5,0,75530,77502,1972
block0,5,0,77502,82437,4935
block1,5,0,82437,85313,2876
patch_queue,5,1,75531,76517,986
embedding,5,1,76517,78489,1972
block0,5,1,78489,83424,4935
block1,5,1,83424,86300,2876
patch_queue,5,2,76518,77504,986
embedding,5,2,77504,79476,1972
block0,5,2,79476,84411,4935
block1,5,2,84411,87287,2876
patch_queue,5,3,77505,78491,986
embedding,5,3,78491,80463,1972
block0,5,3,80463,85398,4935
block1,5,3,85398,88274,2876
patch_queue,5,4,78492,79478,986
embedding,5,4,79478,81450,1972
block0,5,4,81450,86385,4935
block1,5,4,86385,89261,2876
patch_queue,5,5,79479,80465,986
embedding,5,5,80465,82437,1972
block0,5,5,82437,87372,4935
block1,5,5,87372,90248,2876
patch_queue,5,6,80466,81452,986
embedding,5,6,81452,83424,1972
block0,5,6,83424,88359,4935
block1,5,6,88359,91235,2876
patch_queue,5,7,81453,82439,986
embedding,5,7,82439,84411,1972
block0,5,7,84411,89346,4935
block1,5,7,89346,92222,2876
patch_queue,5,8,82440,83426,986
embedding,5,8,83426,85398,1972
block0,5,8,85398,90333,4935
block1,5,8,90333,93209,2876
patch_queue,5,9,83427,84413,986
embedding,5,9,84413,86385,1972
block0,5,9,86385,91320,4935
block1,5,9,91320,94196,2876
patch_queue,5,10,84414,85400,986
embedding,5,10,85400,87372,1972
block0,5,10,87372,92307,4935
block1,5,10,92307,95183,2876
patch_queue,5,11,85401,86387,986
embedding,5,11,86387,88359,1972
block0,5,11,88359,93294,4935
block1,5,11,93294,96170,2876
patch_queue,5,12,86388,87374,986
embedding,5,12,87374,89346,1972
block0,5,12,89346,94281,4935
block1,5,12,94281,97157,2876
patch_queue,5,13,87375,88361,986
embedding,5,13,88361,90333,1972
block0,5,13,90333,95268,4935
block1,5,13,95268,98144,2876
patch_queue,5,14,88362,89348,986
embedding,5,14,89348,91320,1972
block0,5,14,91320,96255,4935
block1,5,14,96255,99131,2876
patch_queue,5,15,89349,90335,986
embedding,5,15,90335,92307,1972
block0,5,15,92307,97242,4935
block1,5,15,97242,100118,2876
head_hidden_first_token,5,0,85313,103411,18098
head_hidden_last_token,5,15,100118,103411,3293
head_output,5,0,103411,104153,742
serializer,5,0,104153,104211,58
patch_queue,6,0,90336,91322,986
embedding,6,0,91322,93294,1972
block0,6,0,93294,98229,4935
block1,6,0,98229,101105,2876
patch_queue,6,1,91323,92309,986
embedding,6,1,92309,94281,1972
block0,6,1,94281,99216,4935
block1,6,1,99216,102092,2876
patch_queue,6,2,92310,93296,986
embedding,6,2,93296,95268,1972
block0,6,2,95268,100203,4935
block1,6,2,100203,103079,2876
patch_queue,6,3,93297,94283,986
embedding,6,3,94283,96255,1972
block0,6,3,96255,101190,4935
block1,6,3,101190,104066,2876
patch_queue,6,4,94284,95270,986
embedding,6,4,95270,97242,1972
block0,6,4,97242,102177,4935
block1,6,4,102177,105053,2876
patch_queue,6,5,95271,96257,986
embedding,6,5,96257,98229,1972
block0,6,5,98229,103164,4935
block1,6,5,103164,106040,2876
patch_queue,6,6,96258,97244,986
embedding,6,6,97244,99216,1972
block0,6,6,99216,104151,4935
block1,6,6,104151,107027,2876
patch_queue,6,7,97245,98231,986
embedding,6,7,98231,100203,1972
block0,6,7,100203,105138,4935
block1,6,7,105138,108014,2876
patch_queue,6,8,98232,99218,986
embedding,6,8,99218,101190,1972
block0,6,8,101190,106125,4935
block1,6,8,106125,109001,2876
patch_queue,6,9,99219,100205,986
embedding,6,9,100205,102177,1972
block0,6,9,102177,107112,4935
block1,6,9,107112,109988,2876
patch_queue,6,10,100206,101192,986
embedding,6,10,101192,103164,1972
block0,6,10,103164,108099,4935
block1,6,10,108099,110975,2876
patch_queue,6,11,101193,102179,986
embedding,6,11,102179,104151,1972
block0,6,11,104151,109086,4935
block1,6,11,109086,111962,2876
patch_queue,6,12,102180,103166,986
embedding,6,12,103166,105138,1972
block0,6,12,105138,110073,4935
block1,6,12,110073,112949,2876
patch_queue,6,13,103167,104153,986
embedding,6,13,104153,106125,1972
block0,6,13,106125,111060,4935
block1,6,13,111060,113936,2876
patch_queue,6,14,104154,105140,986
embedding,6,14,105140,107112,1972
block0,6,14,107112,112047,4935
block1,6,14,112047,114923,2876
patch_queue,6,15,105141,106127,986
embedding,6,15,106127,108099,1972
block0,6,15,108099,113034,4935
block1,6,15,113034,115910,2876
head_hidden_first_token,6,0,101105,119203,18098
head_hidden_last_token,6,15,115910,119203,3293
head_output,6,0,119203,119945,742
serializer,6,0,119945,120003,58
patch_queue,7,0,106128,107114,986
embedding,7,0,107114,109086,1972
block0,7,0,109086,114021,4935
block1,7,0,114021,116897,2876
patch_queue,7,1,107115,108101,986
embedding,7,1,108101,110073,1972
block0,7,1,110073,115008,4935
block1,7,1,115008,117884,2876
patch_queue,7,2,108102,109088,986
embedding,7,2,109088,111060,1972
block0,7,2,111060,115995,4935
block1,7,2,115995,118871,2876
patch_queue,7,3,109089,110075,986
embedding,7,3,110075,112047,1972
block0,7,3,112047,116982,4935
block1,7,3,116982,119858,2876
patch_queue,7,4,110076,111062,986
embedding,7,4,111062,113034,1972
block0,7,4,113034,117969,4935
block1,7,4,117969,120845,2876
patch_queue,7,5,111063,112049,986
embedding,7,5,112049,114021,1972
block0,7,5,114021,118956,4935
block1,7,5,118956,121832,2876
patch_queue,7,6,112050,113036,986
embedding,7,6,113036,115008,1972
block0,7,6,115008,119943,4935
block1,7,6,119943,122819,2876
patch_queue,7,7,113037,114023,986
embedding,7,7,114023,115995,1972
block0,7,7,115995,120930,4935
block1,7,7,120930,123806,2876
patch_queue,7,8,114024,115010,986
embedding,7,8,115010,116982,1972
block0,7,8,116982,121917,4935
block1,7,8,121917,124793,2876
patch_queue,7,9,115011,115997,986
embedding,7,9,115997,117969,1972
block0,7,9,117969,122904,4935
block1,7,9,122904,125780,2876
patch_queue,7,10,115998,116984,986
embedding,7,10,116984,118956,1972
block0,7,10,118956,123891,4935
block1,7,10,123891,126767,2876
patch_queue,7,11,116985,117971,986
embedding,7,11,117971,119943,1972
block0,7,11,119943,124878,4935
block1,7,11,124878,127754,2876
patch_queue,7,12,117972,118958,986
embedding,7,12,118958,120930,1972
block0,7,12,120930,125865,4935
block1,7,12,125865,128741,2876
patch_queue,7,13,118959,119945,986
embedding,7,13,119945,121917,1972
block0,7,13,121917,126852,4935
block1,7,13,126852,129728,2876
patch_queue,7,14,119946,120932,986
embedding,7,14,120932,122904,1972
block0,7,14,122904,127839,4935
block1,7,14,127839,130715,2876
patch_queue,7,15,120933,121919,986
embedding,7,15,121919,123891,1972
block0,7,15,123891,128826,4935
block1,7,15,128826,131702,2876
head_hidden_first_token,7,0,116897,134995,18098
head_hidden_last_token,7,15,131702,134995,3293
head_output,7,0,134995,135737,742
serializer,7,0,135737,135795,58
patch_queue,8,0,121920,122906,986
embedding,8,0,122906,124878,1972
block0,8,0,124878,129813,4935
block1,8,0,129813,132689,2876
patch_queue,8,1,122907,123893,986
embedding,8,1,123893,125865,1972
block0,8,1,125865,130800,4935
block1,8,1,130800,133676,2876
patch_queue,8,2,123894,124880,986
embedding,8,2,124880,126852,1972
block0,8,2,126852,131787,4935
block1,8,2,131787,134663,2876
patch_queue,8,3,124881,125867,986
embedding,8,3,125867,127839,1972
block0,8,3,127839,132774,4935
block1,8,3,132774,135650,2876
patch_queue,8,4,125868,126854,986
embedding,8,4,126854,128826,1972
block0,8,4,128826,133761,4935
block1,8,4,133761,136637,2876
patch_queue,8,5,126855,127841,986
embedding,8,5,127841,129813,1972
block0,8,5,129813,134748,4935
block1,8,5,134748,137624,2876
patch_queue,8,6,127842,128828,986
embedding,8,6,128828,130800,1972
block0,8,6,130800,135735,4935
block1,8,6,135735,138611,2876
patch_queue,8,7,128829,129815,986
embedding,8,7,129815,131787,1972
block0,8,7,131787,136722,4935
block1,8,7,136722,139598,2876
patch_queue,8,8,129816,130802,986
embedding,8,8,130802,132774,1972
block0,8,8,132774,137709,4935
block1,8,8,137709,140585,2876
patch_queue,8,9,130803,131789,986
embedding,8,9,131789,133761,1972
block0,8,9,133761,138696,4935
block1,8,9,138696,141572,2876
patch_queue,8,10,131790,132776,986
embedding,8,10,132776,134748,1972
block0,8,10,134748,139683,4935
block1,8,10,139683,142559,2876
patch_queue,8,11,132777,133763,986
embedding,8,11,133763,135735,1972
block0,8,11,135735,140670,4935
block1,8,11,140670,143546,2876
patch_queue,8,12,133764,134750,986
embedding,8,12,134750,136722,1972
block0,8,12,136722,141657,4935
block1,8,12,141657,144533,2876
patch_queue,8,13,134751,135737,986
embedding,8,13,135737,137709,1972
block0,8,13,137709,142644,4935
block1,8,13,142644,145520,2876
