epoch,train_mse_m2,validation_mae_cm,validation_rmse_cm,learning_rate,elapsed_seconds
0,,7.4246282142133175,9.720959400601757,0.0001,4.732044121999934
1,0.00809315416722286,6.263716986524102,8.524963005690458,0.0001,19.596532061004837
2,0.008016762804702206,6.271938111087518,8.54870365564895,0.0001,19.753006506005477
3,0.008023883249325221,6.267515891905973,8.53722081750592,0.0001,21.16415505600162
4,0.008013571736798387,6.274088422845909,8.548260282203008,0.0001,19.738006499996118
5,0.00800914789195449,6.2817567041888225,8.52930302236934,0.0001,20.691137740002887
6,0.007997151306062333,6.303212078616347,8.554822826296283,0.0001,19.3110148390042
7,0.008010431071069237,6.279037895837626,8.539436252067576,5e-05,19.736429500997474
8,0.007969050887601538,6.269049735469725,8.519043363491532,5e-05,19.404720155005634
9,0.007963790494270933,6.260872067064166,8.520811992354615,5e-05,19.828949925002235
10,0.007971105987004404,6.266235371095088,8.52745471015047,5e-05,21.335698118004075
11,0.007974473575558421,6.264810650542217,8.520372320041444,5e-05,21.077317814000708
12,0.007971003418885061,6.239145169601561,8.509594760421257,5e-05,19.185922787997697
13,0.007966130907591353,6.2475809299174605,8.524507302939817,5e-05,21.09898902500572
14,0.007976801226671415,6.267983061617925,8.531827621380392,5e-05,20.86783635100437
15,0.007982637889254155,6.251362746808307,8.510736573254569,5e-05,20.227205216004222
16,0.007959204697322825,6.263927857242259,8.526481806784235,5e-05,20.208859832993767
17,0.00795449078922645,6.276974618421196,8.53316539304724,5e-05,19.23143761599931
18,0.007957459371032339,6.249381772096666,8.504880900052859,5e-05,20.45929977099877
19,0.007942360604867162,6.235949773258123,8.506007798863964,5e-05,21.556409286000417
20,0.007952131171218775,6.241970939735304,8.51748107042171,5e-05,19.364751070002967
21,0.00794199627272207,6.245678967302727,8.502357848684573,5e-05,18.192498172997148
22,0.007938431903478732,6.249116789924609,8.508802507979558,5e-05,17.19481056099903
23,0.007940732222754744,6.2265886524600935,8.502379648616442,5e-05,18.315764872997534
24,0.00793401049537499,6.235789020465897,8.501034020680278,5e-05,18.285606108001957
25,0.00792849446998021,6.252859474577035,8.514808632436974,5e-05,17.059159954995266
26,0.007945992236993021,6.239272469495902,8.507773208307093,5e-05,18.170036668998364
27,0.007934424066605744,6.255396901028056,8.513872740047931,5e-05,17.848927972001547
28,0.007929207159762449,6.245486840784693,8.50630460084721,5e-05,17.12038262400165
29,0.00795326447423164,6.2532222880546735,8.512343316646207,5e-05,15.798998440004652
30,0.007925702784008282,6.247819760089968,8.49984886811025,5e-05,16.462590221002756
31,0.00796236228606471,6.262588186896792,8.507461573761079,5e-05,16.54347053699894
32,0.007936252645301787,6.234793497191554,8.4913754124116,5e-05,16.565127840003697
33,0.007925991666138167,6.229616125326905,8.501332324709368,5e-05,17.031353165002656
34,0.007931961215596603,6.236489484149048,8.497522992402752,5e-05,16.432897289996617
35,0.007923805622727133,6.229241666414154,8.49210894575974,5e-05,15.821488323999802
36,0.007929350539128945,6.2284819009658925,8.494129753145044,5e-05,16.916354061002494
37,0.007909398822462624,6.24033313077264,8.498648351352921,5e-05,16.10075314399728
38,0.007915853096935661,6.237056711558075,8.49414173582229,2.5e-05,16.481679974000144
39,0.007898941161213936,6.234965734992655,8.491579209840706,2.5e-05,15.823523346000002
40,0.00790336134187276,6.2439464410093,8.497512154912998,2.5e-05,16.169616562001465
