SWAY_PERF_BEGIN,64,14
SWAY_PERF_INPUT_FRAME,0,2,321
SWAY_PROFILE,patch_ready,0,0,348
SWAY_PROFILE,embedding_in,0,0,349
SWAY_PROFILE,patch_ready,0,1,371
SWAY_PROFILE,embedding_in,0,1,601
SWAY_PROFILE,block0_in,0,0,601
SWAY_PROFILE,patch_ready,0,2,602
SWAY_PERF_INPUT_FRAME,1,322,641
SWAY_PROFILE,embedding_in,0,2,853
SWAY_PROFILE,block0_in,0,1,853
SWAY_PROFILE,patch_ready,0,3,854
SWAY_PROFILE,embedding_in,0,3,1105
SWAY_PROFILE,block0_in,0,2,1105
SWAY_PROFILE,patch_ready,0,4,1106
SWAY_PROFILE,embedding_in,0,4,1357
SWAY_PROFILE,patch_ready,0,5,1358
SWAY_PROFILE,block0_in,0,3,1413
SWAY_PROFILE,embedding_in,0,5,1609
SWAY_PROFILE,patch_ready,0,6,1610
SWAY_PROFILE,block0_in,0,4,1818
SWAY_PROFILE,embedding_in,0,6,1861
SWAY_PROFILE,patch_ready,0,7,1862
SWAY_PROFILE,block0_in,0,5,2965
SWAY_PROFILE,block1_in,0,0,2965
SWAY_PROFILE,embedding_in,0,7,2967
SWAY_PROFILE,patch_ready,0,8,2968
SWAY_PROFILE,block0_in,0,6,3555
SWAY_PROFILE,block1_in,0,1,3555
SWAY_PROFILE,embedding_in,0,8,3557
SWAY_PROFILE,patch_ready,0,9,3558
SWAY_PROFILE,block0_in,0,7,4145
SWAY_PROFILE,block1_in,0,2,4145
SWAY_PROFILE,embedding_in,0,9,4147
SWAY_PROFILE,patch_ready,0,10,4148
SWAY_PROFILE,block0_in,0,8,4735
SWAY_PROFILE,block1_in,0,3,4735
SWAY_PROFILE,embedding_in,0,10,4737
SWAY_PROFILE,patch_ready,0,11,4738
SWAY_PROFILE,block0_in,0,9,5327
SWAY_PROFILE,block1_in,0,4,5327
SWAY_PROFILE,embedding_in,0,11,5329
SWAY_PROFILE,head_in,0,0,5329
SWAY_PROFILE,patch_ready,0,12,5330
SWAY_PROFILE,block0_in,0,10,5917
SWAY_PROFILE,block1_in,0,5,5917
SWAY_PROFILE,embedding_in,0,12,5919
SWAY_PROFILE,head_in,0,1,5919
SWAY_PROFILE,patch_ready,0,13,5920
SWAY_PROFILE,block0_in,0,11,6507
SWAY_PROFILE,block1_in,0,6,6507
SWAY_PROFILE,embedding_in,0,13,6509
SWAY_PROFILE,head_in,0,2,6509
SWAY_PROFILE,patch_ready,0,14,6510
SWAY_PROFILE,block0_in,0,12,7097
SWAY_PROFILE,block1_in,0,7,7097
SWAY_PROFILE,embedding_in,0,14,7099
SWAY_PROFILE,head_in,0,3,7099
SWAY_PROFILE,patch_ready,0,15,7100
SWAY_PERF_INPUT_FRAME,2,642,7390
SWAY_PROFILE,block0_in,0,13,7689
SWAY_PROFILE,block1_in,0,8,7689
SWAY_PROFILE,embedding_in,0,15,7691
SWAY_PROFILE,head_in,0,4,7691
SWAY_PROFILE,patch_ready,1,0,7692
SWAY_PROFILE,block0_in,0,14,8279
SWAY_PROFILE,block1_in,0,9,8279
SWAY_PROFILE,embedding_in,1,0,8281
SWAY_PROFILE,head_in,0,5,8281
SWAY_PROFILE,patch_ready,1,1,8282
SWAY_PROFILE,block0_in,0,15,8869
SWAY_PROFILE,block1_in,0,10,8869
SWAY_PROFILE,embedding_in,1,1,8871
SWAY_PROFILE,head_in,0,6,8871
SWAY_PROFILE,patch_ready,1,2,8872
SWAY_PROFILE,block0_in,1,0,9459
SWAY_PROFILE,block1_in,0,11,9459
SWAY_PROFILE,embedding_in,1,2,9461
SWAY_PROFILE,head_in,0,7,9461
SWAY_PROFILE,patch_ready,1,3,9462
SWAY_PROFILE,block0_in,1,1,10051
SWAY_PROFILE,block1_in,0,12,10051
SWAY_PROFILE,embedding_in,1,3,10053
SWAY_PROFILE,head_in,0,8,10053
SWAY_PROFILE,patch_ready,1,4,10054
SWAY_PROFILE,block0_in,1,2,10641
SWAY_PROFILE,block1_in,0,13,10641
SWAY_PROFILE,embedding_in,1,4,10643
SWAY_PROFILE,head_in,0,9,10643
SWAY_PROFILE,patch_ready,1,5,10644
SWAY_PROFILE,block0_in,1,3,11231
SWAY_PROFILE,block1_in,0,14,11231
SWAY_PROFILE,embedding_in,1,5,11233
SWAY_PROFILE,head_in,0,10,11233
SWAY_PROFILE,patch_ready,1,6,11234
SWAY_PROFILE,block0_in,1,4,11821
SWAY_PROFILE,block1_in,0,15,11821
SWAY_PROFILE,embedding_in,1,6,11823
SWAY_PROFILE,head_in,0,11,11823
SWAY_PROFILE,patch_ready,1,7,11824
SWAY_PROFILE,block0_in,1,5,12413
SWAY_PROFILE,block1_in,1,0,12413
SWAY_PROFILE,embedding_in,1,7,12415
SWAY_PROFILE,head_in,0,12,12415
SWAY_PROFILE,patch_ready,1,8,12416
SWAY_PROFILE,block0_in,1,6,13003
SWAY_PROFILE,block1_in,1,1,13003
SWAY_PROFILE,embedding_in,1,8,13005
SWAY_PROFILE,head_in,0,13,13005
SWAY_PROFILE,patch_ready,1,9,13006
SWAY_PROFILE,block0_in,1,7,13593
SWAY_PROFILE,block1_in,1,2,13593
SWAY_PROFILE,embedding_in,1,9,13595
SWAY_PROFILE,head_in,0,14,13595
SWAY_PROFILE,patch_ready,1,10,13596
SWAY_PROFILE,block0_in,1,8,14183
SWAY_PROFILE,block1_in,1,3,14183
SWAY_PROFILE,embedding_in,1,10,14185
SWAY_PROFILE,head_in,0,15,14185
SWAY_PROFILE,patch_ready,1,11,14186
SWAY_PROFILE,block0_in,1,9,14775
SWAY_PROFILE,block1_in,1,4,14775
SWAY_PROFILE,embedding_in,1,11,14777
SWAY_PROFILE,head_in,1,0,14777
SWAY_PROFILE,patch_ready,1,12,14778
SWAY_PROFILE,block0_in,1,10,15365
SWAY_PROFILE,block1_in,1,5,15365
SWAY_PROFILE,embedding_in,1,12,15367
SWAY_PROFILE,head_in,1,1,15367
SWAY_PROFILE,patch_ready,1,13,15368
SWAY_PROFILE,block0_in,1,11,15955
SWAY_PROFILE,block1_in,1,6,15955
SWAY_PROFILE,embedding_in,1,13,15957
SWAY_PROFILE,head_in,1,2,15957
SWAY_PROFILE,patch_ready,1,14,15958
SWAY_PROFILE,block0_in,1,12,16545
SWAY_PROFILE,block1_in,1,7,16545
SWAY_PROFILE,embedding_in,1,14,16547
SWAY_PROFILE,head_in,1,3,16547
SWAY_PROFILE,patch_ready,1,15,16548
SWAY_PERF_INPUT_FRAME,3,7391,16838
SWAY_PROFILE,block0_in,1,13,17137
SWAY_PROFILE,block1_in,1,8,17137
SWAY_PROFILE,embedding_in,1,15,17139
SWAY_PROFILE,head_in,1,4,17139
SWAY_PROFILE,patch_ready,2,0,17140
SWAY_PROFILE,head_output_in,0,0,17478
SWAY_PROFILE,block0_in,1,14,17727
SWAY_PROFILE,block1_in,1,9,17727
SWAY_PROFILE,embedding_in,2,0,17729
SWAY_PROFILE,head_in,1,5,17729
SWAY_PROFILE,patch_ready,2,1,17730
SWAY_PROFILE,serialize_in,0,0,18220
SWAY_PERF_OUTPUT,0,7,18222
SWAY_PERF_OUTPUT,1,7,18223
SWAY_PERF_OUTPUT,2,6,18224
SWAY_PERF_OUTPUT,3,6,18225
SWAY_PERF_OUTPUT,4,12,18226
SWAY_PERF_OUTPUT,5,16,18227
SWAY_PERF_OUTPUT,6,19,18228
SWAY_PERF_OUTPUT,7,1,18229
SWAY_PERF_OUTPUT,8,-2,18230
SWAY_PERF_OUTPUT,9,-3,18231
SWAY_PERF_OUTPUT,10,9,18232
SWAY_PERF_OUTPUT,11,10,18233
SWAY_PERF_OUTPUT,12,11,18234
SWAY_PERF_OUTPUT,13,11,18235
SWAY_PERF_OUTPUT,14,4,18236
SWAY_PERF_OUTPUT,15,2,18237
SWAY_PERF_OUTPUT,16,0,18238
SWAY_PERF_OUTPUT,17,0,18239
SWAY_PERF_OUTPUT,18,7,18240
SWAY_PERF_OUTPUT,19,63,18241
SWAY_PERF_OUTPUT,20,63,18242
SWAY_PERF_OUTPUT,21,63,18243
SWAY_PERF_OUTPUT,22,62,18244
SWAY_PERF_OUTPUT,23,62,18245
SWAY_PERF_OUTPUT,24,63,18246
SWAY_PERF_OUTPUT,25,61,18247
SWAY_PERF_OUTPUT,26,62,18248
SWAY_PERF_OUTPUT,27,63,18249
SWAY_PERF_OUTPUT,28,61,18250
SWAY_PERF_OUTPUT,29,62,18251
SWAY_PERF_OUTPUT,30,62,18252
SWAY_PERF_OUTPUT,31,63,18253
SWAY_PERF_OUTPUT,32,61,18254
SWAY_PERF_OUTPUT,33,62,18255
SWAY_PERF_OUTPUT,34,62,18256
SWAY_PERF_OUTPUT,35,63,18257
SWAY_PERF_OUTPUT,36,60,18258
SWAY_PERF_OUTPUT,37,63,18259
SWAY_PERF_OUTPUT,38,-7,18260
SWAY_PERF_OUTPUT,39,2,18261
SWAY_PERF_OUTPUT,40,13,18262
SWAY_PERF_OUTPUT,41,17,18263
SWAY_PERF_OUTPUT,42,9,18264
SWAY_PERF_OUTPUT,43,5,18265
SWAY_PERF_OUTPUT,44,2,18266
SWAY_PERF_OUTPUT,45,9,18267
SWAY_PERF_OUTPUT,46,2,18268
SWAY_PERF_OUTPUT,47,-4,18269
SWAY_PERF_OUTPUT,48,-7,18270
SWAY_PERF_OUTPUT,49,-17,18271
SWAY_PERF_OUTPUT,50,-28,18272
SWAY_PERF_OUTPUT,51,-29,18273
SWAY_PERF_OUTPUT,52,-7,18274
SWAY_PERF_OUTPUT,53,-16,18275
SWAY_PERF_OUTPUT,54,-27,18276
SWAY_PERF_OUTPUT,55,-29,18277
SWAY_PERF_OUTPUT,56,10,18278
SWAY_PERF_FRAME,0,18222,18278
SWAY_PROFILE,block0_in,1,15,18317
SWAY_PROFILE,block1_in,1,10,18317
SWAY_PROFILE,embedding_in,2,1,18319
SWAY_PROFILE,head_in,1,6,18319
SWAY_PROFILE,patch_ready,2,2,18320
SWAY_PROFILE,block0_in,2,0,18907
SWAY_PROFILE,block1_in,1,11,18907
SWAY_PROFILE,embedding_in,2,2,18909
SWAY_PROFILE,head_in,1,7,18909
SWAY_PROFILE,patch_ready,2,3,18910
SWAY_PROFILE,block0_in,2,1,19499
SWAY_PROFILE,block1_in,1,12,19499
SWAY_PROFILE,embedding_in,2,3,19501
SWAY_PROFILE,head_in,1,8,19501
SWAY_PROFILE,patch_ready,2,4,19502
SWAY_PROFILE,block0_in,2,2,20089
SWAY_PROFILE,block1_in,1,13,20089
SWAY_PROFILE,embedding_in,2,4,20091
SWAY_PROFILE,head_in,1,9,20091
SWAY_PROFILE,patch_ready,2,5,20092
SWAY_PROFILE,block0_in,2,3,20679
SWAY_PROFILE,block1_in,1,14,20679
SWAY_PROFILE,embedding_in,2,5,20681
SWAY_PROFILE,head_in,1,10,20681
SWAY_PROFILE,patch_ready,2,6,20682
SWAY_PROFILE,block0_in,2,4,21269
SWAY_PROFILE,block1_in,1,15,21269
SWAY_PROFILE,embedding_in,2,6,21271
SWAY_PROFILE,head_in,1,11,21271
SWAY_PROFILE,patch_ready,2,7,21272
SWAY_PROFILE,block0_in,2,5,21861
SWAY_PROFILE,block1_in,2,0,21861
SWAY_PROFILE,embedding_in,2,7,21863
SWAY_PROFILE,head_in,1,12,21863
SWAY_PROFILE,patch_ready,2,8,21864
SWAY_PROFILE,block0_in,2,6,22451
SWAY_PROFILE,block1_in,2,1,22451
SWAY_PROFILE,embedding_in,2,8,22453
SWAY_PROFILE,head_in,1,13,22453
SWAY_PROFILE,patch_ready,2,9,22454
SWAY_PROFILE,block0_in,2,7,23041
SWAY_PROFILE,block1_in,2,2,23041
SWAY_PROFILE,embedding_in,2,9,23043
SWAY_PROFILE,head_in,1,14,23043
SWAY_PROFILE,patch_ready,2,10,23044
SWAY_PROFILE,block0_in,2,8,23631
SWAY_PROFILE,block1_in,2,3,23631
SWAY_PROFILE,embedding_in,2,10,23633
SWAY_PROFILE,head_in,1,15,23633
SWAY_PROFILE,patch_ready,2,11,23634
SWAY_PROFILE,block0_in,2,9,24223
SWAY_PROFILE,block1_in,2,4,24223
SWAY_PROFILE,embedding_in,2,11,24225
SWAY_PROFILE,head_in,2,0,24225
SWAY_PROFILE,patch_ready,2,12,24226
SWAY_PROFILE,block0_in,2,10,24813
SWAY_PROFILE,block1_in,2,5,24813
SWAY_PROFILE,embedding_in,2,12,24815
SWAY_PROFILE,head_in,2,1,24815
SWAY_PROFILE,patch_ready,2,13,24816
SWAY_PROFILE,block0_in,2,11,25403
SWAY_PROFILE,block1_in,2,6,25403
SWAY_PROFILE,embedding_in,2,13,25405
SWAY_PROFILE,head_in,2,2,25405
SWAY_PROFILE,patch_ready,2,14,25406
SWAY_PROFILE,block0_in,2,12,25993
SWAY_PROFILE,block1_in,2,7,25993
SWAY_PROFILE,embedding_in,2,14,25995
SWAY_PROFILE,head_in,2,3,25995
SWAY_PROFILE,patch_ready,2,15,25996
SWAY_PERF_INPUT_FRAME,4,16839,26286
SWAY_PROFILE,block0_in,2,13,26585
SWAY_PROFILE,block1_in,2,8,26585
SWAY_PROFILE,embedding_in,2,15,26587
SWAY_PROFILE,head_in,2,4,26587
SWAY_PROFILE,patch_ready,3,0,26588
SWAY_PROFILE,head_output_in,1,0,26926
SWAY_PROFILE,block0_in,2,14,27175
SWAY_PROFILE,block1_in,2,9,27175
SWAY_PROFILE,embedding_in,3,0,27177
SWAY_PROFILE,head_in,2,5,27177
SWAY_PROFILE,patch_ready,3,1,27178
SWAY_PROFILE,serialize_in,1,0,27668
SWAY_PERF_OUTPUT,57,7,27670
SWAY_PERF_OUTPUT,58,8,27671
SWAY_PERF_OUTPUT,59,8,27672
SWAY_PERF_OUTPUT,60,8,27673
SWAY_PERF_OUTPUT,61,13,27674
SWAY_PERF_OUTPUT,62,17,27675
SWAY_PERF_OUTPUT,63,20,27676
SWAY_PERF_OUTPUT,64,2,27677
SWAY_PERF_OUTPUT,65,-2,27678
SWAY_PERF_OUTPUT,66,-5,27679
SWAY_PERF_OUTPUT,67,10,27680
SWAY_PERF_OUTPUT,68,11,27681
SWAY_PERF_OUTPUT,69,10,27682
SWAY_PERF_OUTPUT,70,11,27683
SWAY_PERF_OUTPUT,71,5,27684
SWAY_PERF_OUTPUT,72,3,27685
SWAY_PERF_OUTPUT,73,0,27686
SWAY_PERF_OUTPUT,74,0,27687
SWAY_PERF_OUTPUT,75,8,27688
SWAY_PERF_OUTPUT,76,62,27689
SWAY_PERF_OUTPUT,77,62,27690
SWAY_PERF_OUTPUT,78,62,27691
SWAY_PERF_OUTPUT,79,62,27692
SWAY_PERF_OUTPUT,80,62,27693
SWAY_PERF_OUTPUT,81,62,27694
SWAY_PERF_OUTPUT,82,60,27695
SWAY_PERF_OUTPUT,83,61,27696
SWAY_PERF_OUTPUT,84,61,27697
SWAY_PERF_OUTPUT,85,60,27698
SWAY_PERF_OUTPUT,86,61,27699
SWAY_PERF_OUTPUT,87,60,27700
SWAY_PERF_OUTPUT,88,62,27701
SWAY_PERF_OUTPUT,89,59,27702
SWAY_PERF_OUTPUT,90,61,27703
SWAY_PERF_OUTPUT,91,61,27704
SWAY_PERF_OUTPUT,92,64,27705
SWAY_PERF_OUTPUT,93,60,27706
SWAY_PERF_OUTPUT,94,62,27707
SWAY_PERF_OUTPUT,95,-6,27708
SWAY_PERF_OUTPUT,96,4,27709
SWAY_PERF_OUTPUT,97,14,27710
SWAY_PERF_OUTPUT,98,18,27711
SWAY_PERF_OUTPUT,99,10,27712
SWAY_PERF_OUTPUT,100,6,27713
SWAY_PERF_OUTPUT,101,-1,27714
SWAY_PERF_OUTPUT,102,10,27715
SWAY_PERF_OUTPUT,103,4,27716
SWAY_PERF_OUTPUT,104,-1,27717
SWAY_PERF_OUTPUT,105,-5,27718
SWAY_PERF_OUTPUT,106,-16,27719
SWAY_PERF_OUTPUT,107,-26,27720
SWAY_PERF_OUTPUT,108,-29,27721
SWAY_PERF_OUTPUT,109,-6,27722
SWAY_PERF_OUTPUT,110,-15,27723
SWAY_PERF_OUTPUT,111,-26,27724
SWAY_PERF_OUTPUT,112,-28,27725
SWAY_PERF_OUTPUT,113,11,27726
SWAY_PERF_FRAME,1,27670,27726
SWAY_PROFILE,block0_in,2,15,27765
SWAY_PROFILE,block1_in,2,10,27765
SWAY_PROFILE,embedding_in,3,1,27767
SWAY_PROFILE,head_in,2,6,27767
SWAY_PROFILE,patch_ready,3,2,27768
SWAY_PROFILE,block0_in,3,0,28355
SWAY_PROFILE,block1_in,2,11,28355
SWAY_PROFILE,embedding_in,3,2,28357
SWAY_PROFILE,head_in,2,7,28357
SWAY_PROFILE,patch_ready,3,3,28358
SWAY_PROFILE,block0_in,3,1,28947
SWAY_PROFILE,block1_in,2,12,28947
SWAY_PROFILE,embedding_in,3,3,28949
SWAY_PROFILE,head_in,2,8,28949
SWAY_PROFILE,patch_ready,3,4,28950
SWAY_PROFILE,block0_in,3,2,29537
SWAY_PROFILE,block1_in,2,13,29537
SWAY_PROFILE,embedding_in,3,4,29539
SWAY_PROFILE,head_in,2,9,29539
SWAY_PROFILE,patch_ready,3,5,29540
SWAY_PROFILE,block0_in,3,3,30127
SWAY_PROFILE,block1_in,2,14,30127
SWAY_PROFILE,embedding_in,3,5,30129
SWAY_PROFILE,head_in,2,10,30129
SWAY_PROFILE,patch_ready,3,6,30130
SWAY_PROFILE,block0_in,3,4,30717
SWAY_PROFILE,block1_in,2,15,30717
SWAY_PROFILE,embedding_in,3,6,30719
SWAY_PROFILE,head_in,2,11,30719
SWAY_PROFILE,patch_ready,3,7,30720
SWAY_PROFILE,block0_in,3,5,31309
SWAY_PROFILE,block1_in,3,0,31309
SWAY_PROFILE,embedding_in,3,7,31311
SWAY_PROFILE,head_in,2,12,31311
SWAY_PROFILE,patch_ready,3,8,31312
SWAY_PROFILE,block0_in,3,6,31899
SWAY_PROFILE,block1_in,3,1,31899
SWAY_PROFILE,embedding_in,3,8,31901
SWAY_PROFILE,head_in,2,13,31901
SWAY_PROFILE,patch_ready,3,9,31902
SWAY_PROFILE,block0_in,3,7,32489
SWAY_PROFILE,block1_in,3,2,32489
SWAY_PROFILE,embedding_in,3,9,32491
SWAY_PROFILE,head_in,2,14,32491
SWAY_PROFILE,patch_ready,3,10,32492
SWAY_PROFILE,block0_in,3,8,33079
SWAY_PROFILE,block1_in,3,3,33079
SWAY_PROFILE,embedding_in,3,10,33081
SWAY_PROFILE,head_in,2,15,33081
SWAY_PROFILE,patch_ready,3,11,33082
SWAY_PROFILE,block0_in,3,9,33671
SWAY_PROFILE,block1_in,3,4,33671
SWAY_PROFILE,embedding_in,3,11,33673
SWAY_PROFILE,head_in,3,0,33673
SWAY_PROFILE,patch_ready,3,12,33674
SWAY_PROFILE,block0_in,3,10,34261
SWAY_PROFILE,block1_in,3,5,34261
SWAY_PROFILE,embedding_in,3,12,34263
SWAY_PROFILE,head_in,3,1,34263
SWAY_PROFILE,patch_ready,3,13,34264
SWAY_PROFILE,block0_in,3,11,34851
SWAY_PROFILE,block1_in,3,6,34851
SWAY_PROFILE,embedding_in,3,13,34853
SWAY_PROFILE,head_in,3,2,34853
SWAY_PROFILE,patch_ready,3,14,34854
SWAY_PROFILE,block0_in,3,12,35441
SWAY_PROFILE,block1_in,3,7,35441
SWAY_PROFILE,embedding_in,3,14,35443
SWAY_PROFILE,head_in,3,3,35443
SWAY_PROFILE,patch_ready,3,15,35444
SWAY_PERF_INPUT_FRAME,5,26287,35734
SWAY_PROFILE,block0_in,3,13,36033
SWAY_PROFILE,block1_in,3,8,36033
SWAY_PROFILE,embedding_in,3,15,36035
SWAY_PROFILE,head_in,3,4,36035
SWAY_PROFILE,patch_ready,4,0,36036
SWAY_PROFILE,head_output_in,2,0,36374
SWAY_PROFILE,block0_in,3,14,36623
SWAY_PROFILE,block1_in,3,9,36623
SWAY_PROFILE,embedding_in,4,0,36625
SWAY_PROFILE,head_in,3,5,36625
SWAY_PROFILE,patch_ready,4,1,36626
SWAY_PROFILE,serialize_in,2,0,37116
SWAY_PERF_OUTPUT,114,8,37118
SWAY_PERF_OUTPUT,115,9,37119
SWAY_PERF_OUTPUT,116,8,37120
SWAY_PERF_OUTPUT,117,9,37121
SWAY_PERF_OUTPUT,118,13,37122
SWAY_PERF_OUTPUT,119,16,37123
SWAY_PERF_OUTPUT,120,15,37124
SWAY_PERF_OUTPUT,121,4,37125
SWAY_PERF_OUTPUT,122,1,37126
SWAY_PERF_OUTPUT,123,0,37127
SWAY_PERF_OUTPUT,124,10,37128
SWAY_PERF_OUTPUT,125,10,37129
SWAY_PERF_OUTPUT,126,8,37130
SWAY_PERF_OUTPUT,127,8,37131
SWAY_PERF_OUTPUT,128,6,37132
SWAY_PERF_OUTPUT,129,4,37133
SWAY_PERF_OUTPUT,130,2,37134
SWAY_PERF_OUTPUT,131,1,37135
SWAY_PERF_OUTPUT,132,9,37136
SWAY_PERF_OUTPUT,133,63,37137
SWAY_PERF_OUTPUT,134,63,37138
SWAY_PERF_OUTPUT,135,63,37139
SWAY_PERF_OUTPUT,136,63,37140
SWAY_PERF_OUTPUT,137,62,37141
SWAY_PERF_OUTPUT,138,62,37142
SWAY_PERF_OUTPUT,139,60,37143
SWAY_PERF_OUTPUT,140,62,37144
SWAY_PERF_OUTPUT,141,64,37145
SWAY_PERF_OUTPUT,142,62,37146
SWAY_PERF_OUTPUT,143,62,37147
SWAY_PERF_OUTPUT,144,62,37148
SWAY_PERF_OUTPUT,145,63,37149
SWAY_PERF_OUTPUT,146,62,37150
SWAY_PERF_OUTPUT,147,62,37151
SWAY_PERF_OUTPUT,148,62,37152
SWAY_PERF_OUTPUT,149,63,37153
SWAY_PERF_OUTPUT,150,59,37154
SWAY_PERF_OUTPUT,151,63,37155
SWAY_PERF_OUTPUT,152,-8,37156
SWAY_PERF_OUTPUT,153,2,37157
SWAY_PERF_OUTPUT,154,13,37158
SWAY_PERF_OUTPUT,155,17,37159
SWAY_PERF_OUTPUT,156,9,37160
SWAY_PERF_OUTPUT,157,2,37161
SWAY_PERF_OUTPUT,158,-4,37162
SWAY_PERF_OUTPUT,159,8,37163
SWAY_PERF_OUTPUT,160,2,37164
SWAY_PERF_OUTPUT,161,-4,37165
SWAY_PERF_OUTPUT,162,-7,37166
SWAY_PERF_OUTPUT,163,-17,37167
SWAY_PERF_OUTPUT,164,-28,37168
SWAY_PERF_OUTPUT,165,-30,37169
SWAY_PERF_OUTPUT,166,-7,37170
SWAY_PERF_OUTPUT,167,-16,37171
SWAY_PERF_OUTPUT,168,-26,37172
SWAY_PERF_OUTPUT,169,-29,37173
SWAY_PERF_OUTPUT,170,10,37174
SWAY_PERF_FRAME,2,37118,37174
SWAY_PROFILE,block0_in,3,15,37213
SWAY_PROFILE,block1_in,3,10,37213
SWAY_PROFILE,embedding_in,4,1,37215
SWAY_PROFILE,head_in,3,6,37215
SWAY_PROFILE,patch_ready,4,2,37216
SWAY_PROFILE,block0_in,4,0,37803
SWAY_PROFILE,block1_in,3,11,37803
SWAY_PROFILE,embedding_in,4,2,37805
SWAY_PROFILE,head_in,3,7,37805
SWAY_PROFILE,patch_ready,4,3,37806
SWAY_PROFILE,block0_in,4,1,38395
SWAY_PROFILE,block1_in,3,12,38395
SWAY_PROFILE,embedding_in,4,3,38397
SWAY_PROFILE,head_in,3,8,38397
SWAY_PROFILE,patch_ready,4,4,38398
SWAY_PROFILE,block0_in,4,2,38985
SWAY_PROFILE,block1_in,3,13,38985
SWAY_PROFILE,embedding_in,4,4,38987
SWAY_PROFILE,head_in,3,9,38987
SWAY_PROFILE,patch_ready,4,5,38988
SWAY_PROFILE,block0_in,4,3,39575
SWAY_PROFILE,block1_in,3,14,39575
SWAY_PROFILE,embedding_in,4,5,39577
SWAY_PROFILE,head_in,3,10,39577
SWAY_PROFILE,patch_ready,4,6,39578
SWAY_PROFILE,block0_in,4,4,40165
SWAY_PROFILE,block1_in,3,15,40165
SWAY_PROFILE,embedding_in,4,6,40167
SWAY_PROFILE,head_in,3,11,40167
SWAY_PROFILE,patch_ready,4,7,40168
SWAY_PROFILE,block0_in,4,5,40757
SWAY_PROFILE,block1_in,4,0,40757
SWAY_PROFILE,embedding_in,4,7,40759
SWAY_PROFILE,head_in,3,12,40759
SWAY_PROFILE,patch_ready,4,8,40760
SWAY_PROFILE,block0_in,4,6,41347
SWAY_PROFILE,block1_in,4,1,41347
SWAY_PROFILE,embedding_in,4,8,41349
SWAY_PROFILE,head_in,3,13,41349
SWAY_PROFILE,patch_ready,4,9,41350
SWAY_PROFILE,block0_in,4,7,41937
SWAY_PROFILE,block1_in,4,2,41937
SWAY_PROFILE,embedding_in,4,9,41939
SWAY_PROFILE,head_in,3,14,41939
SWAY_PROFILE,patch_ready,4,10,41940
SWAY_PROFILE,block0_in,4,8,42527
SWAY_PROFILE,block1_in,4,3,42527
SWAY_PROFILE,embedding_in,4,10,42529
SWAY_PROFILE,head_in,3,15,42529
SWAY_PROFILE,patch_ready,4,11,42530
SWAY_PROFILE,block0_in,4,9,43119
SWAY_PROFILE,block1_in,4,4,43119
SWAY_PROFILE,embedding_in,4,11,43121
SWAY_PROFILE,head_in,4,0,43121
SWAY_PROFILE,patch_ready,4,12,43122
SWAY_PROFILE,block0_in,4,10,43709
SWAY_PROFILE,block1_in,4,5,43709
SWAY_PROFILE,embedding_in,4,12,43711
SWAY_PROFILE,head_in,4,1,43711
SWAY_PROFILE,patch_ready,4,13,43712
SWAY_PROFILE,block0_in,4,11,44299
SWAY_PROFILE,block1_in,4,6,44299
SWAY_PROFILE,embedding_in,4,13,44301
SWAY_PROFILE,head_in,4,2,44301
SWAY_PROFILE,patch_ready,4,14,44302
SWAY_PROFILE,block0_in,4,12,44889
SWAY_PROFILE,block1_in,4,7,44889
SWAY_PROFILE,embedding_in,4,14,44891
SWAY_PROFILE,head_in,4,3,44891
SWAY_PROFILE,patch_ready,4,15,44892
SWAY_PERF_INPUT_FRAME,6,35735,45182
SWAY_PROFILE,block0_in,4,13,45481
SWAY_PROFILE,block1_in,4,8,45481
SWAY_PROFILE,embedding_in,4,15,45483
SWAY_PROFILE,head_in,4,4,45483
SWAY_PROFILE,patch_ready,5,0,45484
SWAY_PROFILE,head_output_in,3,0,45822
SWAY_PROFILE,block0_in,4,14,46071
SWAY_PROFILE,block1_in,4,9,46071
SWAY_PROFILE,embedding_in,5,0,46073
SWAY_PROFILE,head_in,4,5,46073
SWAY_PROFILE,patch_ready,5,1,46074
SWAY_PROFILE,serialize_in,3,0,46564
SWAY_PERF_OUTPUT,171,7,46566
SWAY_PERF_OUTPUT,172,7,46567
SWAY_PERF_OUTPUT,173,6,46568
SWAY_PERF_OUTPUT,174,7,46569
SWAY_PERF_OUTPUT,175,13,46570
SWAY_PERF_OUTPUT,176,17,46571
SWAY_PERF_OUTPUT,177,20,46572
SWAY_PERF_OUTPUT,178,1,46573
SWAY_PERF_OUTPUT,179,-3,46574
SWAY_PERF_OUTPUT,180,-4,46575
SWAY_PERF_OUTPUT,181,10,46576
SWAY_PERF_OUTPUT,182,11,46577
SWAY_PERF_OUTPUT,183,13,46578
SWAY_PERF_OUTPUT,184,13,46579
SWAY_PERF_OUTPUT,185,5,46580
SWAY_PERF_OUTPUT,186,4,46581
SWAY_PERF_OUTPUT,187,2,46582
SWAY_PERF_OUTPUT,188,2,46583
SWAY_PERF_OUTPUT,189,7,46584
SWAY_PERF_OUTPUT,190,62,46585
SWAY_PERF_OUTPUT,191,62,46586
SWAY_PERF_OUTPUT,192,62,46587
SWAY_PERF_OUTPUT,193,61,46588
