SWAY_PERF_OUTPUT,128,6,37132
SWAY_PERF_OUTPUT,129,4,37133
SWAY_PERF_OUTPUT,130,2,37134
SWAY_PERF_OUTPUT,131,1,37135
SWAY_PERF_OUTPUT,132,9,37136
SWAY_PERF_OUTPUT,133,63,37137
SWAY_PERF_OUTPUT,134,63,37138
SWAY_PERF_OUTPUT,135,63,37139
SWAY_PERF_OUTPUT,136,63,37140
SWAY_PERF_OUTPUT,137,62,37141
SWAY_PERF_OUTPUT,138,62,37142
SWAY_PERF_OUTPUT,139,60,37143
SWAY_PERF_OUTPUT,140,62,37144
SWAY_PERF_OUTPUT,141,64,37145
SWAY_PERF_OUTPUT,142,62,37146
SWAY_PERF_OUTPUT,143,62,37147
SWAY_PERF_OUTPUT,144,62,37148
SWAY_PERF_OUTPUT,145,63,37149
SWAY_PERF_OUTPUT,146,62,37150
SWAY_PERF_OUTPUT,147,62,37151
SWAY_PERF_OUTPUT,148,62,37152
SWAY_PERF_OUTPUT,149,63,37153
SWAY_PERF_OUTPUT,150,59,37154
SWAY_PERF_OUTPUT,151,63,37155
SWAY_PERF_OUTPUT,152,-8,37156
SWAY_PERF_OUTPUT,153,2,37157
SWAY_PERF_OUTPUT,154,13,37158
SWAY_PERF_OUTPUT,155,17,37159
SWAY_PERF_OUTPUT,156,9,37160
SWAY_PERF_OUTPUT,157,2,37161
SWAY_PERF_OUTPUT,158,-4,37162
SWAY_PERF_OUTPUT,159,8,37163
SWAY_PERF_OUTPUT,160,2,37164
SWAY_PERF_OUTPUT,161,-4,37165
SWAY_PERF_OUTPUT,162,-7,37166
SWAY_PERF_OUTPUT,163,-17,37167
SWAY_PERF_OUTPUT,164,-28,37168
SWAY_PERF_OUTPUT,165,-30,37169
SWAY_PERF_OUTPUT,166,-7,37170
SWAY_PERF_OUTPUT,167,-16,37171
SWAY_PERF_OUTPUT,168,-26,37172
SWAY_PERF_OUTPUT,169,-29,37173
SWAY_PERF_OUTPUT,170,10,37174
SWAY_PERF_FRAME,2,37118,37174
SWAY_PERF_INPUT_FRAME,6,35735,45182
SWAY_PERF_OUTPUT,171,7,46566
SWAY_PERF_OUTPUT,172,7,46567
SWAY_PERF_OUTPUT,173,6,46568
SWAY_PERF_OUTPUT,174,7,46569
SWAY_PERF_OUTPUT,175,13,46570
SWAY_PERF_OUTPUT,176,17,46571
SWAY_PERF_OUTPUT,177,20,46572
SWAY_PERF_OUTPUT,178,1,46573
SWAY_PERF_OUTPUT,179,-3,46574
SWAY_PERF_OUTPUT,180,-4,46575
SWAY_PERF_OUTPUT,181,10,46576
SWAY_PERF_OUTPUT,182,11,46577
SWAY_PERF_OUTPUT,183,13,46578
SWAY_PERF_OUTPUT,184,13,46579
SWAY_PERF_OUTPUT,185,5,46580
SWAY_PERF_OUTPUT,186,4,46581
SWAY_PERF_OUTPUT,187,2,46582
SWAY_PERF_OUTPUT,188,2,46583
SWAY_PERF_OUTPUT,189,7,46584
SWAY_PERF_OUTPUT,190,62,46585
SWAY_PERF_OUTPUT,191,62,46586
SWAY_PERF_OUTPUT,192,62,46587
SWAY_PERF_OUTPUT,193,61,46588
SWAY_PERF_OUTPUT,194,63,46589
SWAY_PERF_OUTPUT,195,65,46590
SWAY_PERF_OUTPUT,196,62,46591
SWAY_PERF_OUTPUT,197,60,46592
SWAY_PERF_OUTPUT,198,59,46593
SWAY_PERF_OUTPUT,199,57,46594
SWAY_PERF_OUTPUT,200,60,46595
SWAY_PERF_OUTPUT,201,60,46596
SWAY_PERF_OUTPUT,202,59,46597
SWAY_PERF_OUTPUT,203,56,46598
SWAY_PERF_OUTPUT,204,60,46599
SWAY_PERF_OUTPUT,205,63,46600
SWAY_PERF_OUTPUT,206,65,46601
SWAY_PERF_OUTPUT,207,62,46602
SWAY_PERF_OUTPUT,208,62,46603
SWAY_PERF_OUTPUT,209,-3,46604
SWAY_PERF_OUTPUT,210,7,46605
SWAY_PERF_OUTPUT,211,17,46606
SWAY_PERF_OUTPUT,212,22,46607
SWAY_PERF_OUTPUT,213,14,46608
SWAY_PERF_OUTPUT,214,10,46609
SWAY_PERF_OUTPUT,215,8,46610
SWAY_PERF_OUTPUT,216,14,46611
SWAY_PERF_OUTPUT,217,8,46612
SWAY_PERF_OUTPUT,218,4,46613
SWAY_PERF_OUTPUT,219,-2,46614
SWAY_PERF_OUTPUT,220,-15,46615
SWAY_PERF_OUTPUT,221,-26,46616
SWAY_PERF_OUTPUT,222,-28,46617
SWAY_PERF_OUTPUT,223,-3,46618
SWAY_PERF_OUTPUT,224,-15,46619
SWAY_PERF_OUTPUT,225,-26,46620
SWAY_PERF_OUTPUT,226,-28,46621
SWAY_PERF_OUTPUT,227,15,46622
SWAY_PERF_FRAME,3,46566,46622
SWAY_PERF_INPUT_FRAME,7,45183,54630
SWAY_PERF_OUTPUT,228,8,56014
SWAY_PERF_OUTPUT,229,9,56015
SWAY_PERF_OUTPUT,230,9,56016
SWAY_PERF_OUTPUT,231,9,56017
SWAY_PERF_OUTPUT,232,14,56018
SWAY_PERF_OUTPUT,233,20,56019
SWAY_PERF_OUTPUT,234,23,56020
SWAY_PERF_OUTPUT,235,3,56021
SWAY_PERF_OUTPUT,236,-4,56022
SWAY_PERF_OUTPUT,237,-9,56023
SWAY_PERF_OUTPUT,238,11,56024
SWAY_PERF_OUTPUT,239,13,56025
SWAY_PERF_OUTPUT,240,13,56026
SWAY_PERF_OUTPUT,241,14,56027
SWAY_PERF_OUTPUT,242,6,56028
SWAY_PERF_OUTPUT,243,0,56029
SWAY_PERF_OUTPUT,244,-5,56030
SWAY_PERF_OUTPUT,245,-5,56031
SWAY_PERF_OUTPUT,246,9,56032
SWAY_PERF_OUTPUT,247,62,56033
SWAY_PERF_OUTPUT,248,61,56034
SWAY_PERF_OUTPUT,249,60,56035
SWAY_PERF_OUTPUT,250,59,56036
SWAY_PERF_OUTPUT,251,59,56037
SWAY_PERF_OUTPUT,252,59,56038
SWAY_PERF_OUTPUT,253,58,56039
SWAY_PERF_OUTPUT,254,60,56040
SWAY_PERF_OUTPUT,255,60,56041
SWAY_PERF_OUTPUT,256,59,56042
SWAY_PERF_OUTPUT,257,60,56043
SWAY_PERF_OUTPUT,258,58,56044
SWAY_PERF_OUTPUT,259,61,56045
SWAY_PERF_OUTPUT,260,59,56046
SWAY_PERF_OUTPUT,261,61,56047
SWAY_PERF_OUTPUT,262,59,56048
SWAY_PERF_OUTPUT,263,61,56049
SWAY_PERF_OUTPUT,264,58,56050
SWAY_PERF_OUTPUT,265,60,56051
SWAY_PERF_OUTPUT,266,-8,56052
SWAY_PERF_OUTPUT,267,2,56053
SWAY_PERF_OUTPUT,268,11,56054
SWAY_PERF_OUTPUT,269,15,56055
SWAY_PERF_OUTPUT,270,8,56056
SWAY_PERF_OUTPUT,271,6,56057
SWAY_PERF_OUTPUT,272,5,56058
SWAY_PERF_OUTPUT,273,8,56059
SWAY_PERF_OUTPUT,274,6,56060
SWAY_PERF_OUTPUT,275,8,56061
SWAY_PERF_OUTPUT,276,-7,56062
SWAY_PERF_OUTPUT,277,-16,56063
SWAY_PERF_OUTPUT,278,-27,56064
SWAY_PERF_OUTPUT,279,-29,56065
SWAY_PERF_OUTPUT,280,-7,56066
SWAY_PERF_OUTPUT,281,-14,56067
SWAY_PERF_OUTPUT,282,-25,56068
SWAY_PERF_OUTPUT,283,-27,56069
SWAY_PERF_OUTPUT,284,9,56070
SWAY_PERF_FRAME,4,56014,56070
SWAY_PERF_INPUT_FRAME,8,54631,64078
SWAY_PERF_OUTPUT,285,4,65462
SWAY_PERF_OUTPUT,286,4,65463
SWAY_PERF_OUTPUT,287,3,65464
SWAY_PERF_OUTPUT,288,3,65465
SWAY_PERF_OUTPUT,289,9,65466
SWAY_PERF_OUTPUT,290,16,65467
SWAY_PERF_OUTPUT,291,19,65468
SWAY_PERF_OUTPUT,292,-2,65469
SWAY_PERF_OUTPUT,293,-7,65470
SWAY_PERF_OUTPUT,294,-8,65471
SWAY_PERF_OUTPUT,295,7,65472
SWAY_PERF_OUTPUT,296,11,65473
SWAY_PERF_OUTPUT,297,13,65474
SWAY_PERF_OUTPUT,298,14,65475
SWAY_PERF_OUTPUT,299,2,65476
SWAY_PERF_OUTPUT,300,-1,65477
SWAY_PERF_OUTPUT,301,-2,65478
SWAY_PERF_OUTPUT,302,-2,65479
SWAY_PERF_OUTPUT,303,3,65480
SWAY_PERF_OUTPUT,304,61,65481
SWAY_PERF_OUTPUT,305,61,65482
SWAY_PERF_OUTPUT,306,60,65483
SWAY_PERF_OUTPUT,307,60,65484
SWAY_PERF_OUTPUT,308,60,65485
SWAY_PERF_OUTPUT,309,61,65486
SWAY_PERF_OUTPUT,310,59,65487
SWAY_PERF_OUTPUT,311,59,65488
SWAY_PERF_OUTPUT,312,59,65489
SWAY_PERF_OUTPUT,313,58,65490
SWAY_PERF_OUTPUT,314,60,65491
SWAY_PERF_OUTPUT,315,59,65492
SWAY_PERF_OUTPUT,316,60,65493
SWAY_PERF_OUTPUT,317,57,65494
SWAY_PERF_OUTPUT,318,60,65495
SWAY_PERF_OUTPUT,319,59,65496
SWAY_PERF_OUTPUT,320,62,65497
SWAY_PERF_OUTPUT,321,59,65498
SWAY_PERF_OUTPUT,322,60,65499
SWAY_PERF_OUTPUT,323,-6,65500
SWAY_PERF_OUTPUT,324,4,65501
SWAY_PERF_OUTPUT,325,14,65502
SWAY_PERF_OUTPUT,326,18,65503
SWAY_PERF_OUTPUT,327,11,65504
SWAY_PERF_OUTPUT,328,10,65505
SWAY_PERF_OUTPUT,329,11,65506
SWAY_PERF_OUTPUT,330,10,65507
SWAY_PERF_OUTPUT,331,6,65508
SWAY_PERF_OUTPUT,332,5,65509
SWAY_PERF_OUTPUT,333,-5,65510
SWAY_PERF_OUTPUT,334,-15,65511
SWAY_PERF_OUTPUT,335,-25,65512
SWAY_PERF_OUTPUT,336,-28,65513
SWAY_PERF_OUTPUT,337,-6,65514
