---------------------------------------------------------------------
[STEP 1] Loading official MARS train and validation arrays
[STEP 2] Training 15717 parameters on 24066 frames
Epoch 206 | train MSE 0.008365 m2 | val MAE 6.4799 cm | val RMSE 8.7483 cm | 7.70 s
Epoch 207 | train MSE 0.008432 m2 | val MAE 6.4444 cm | val RMSE 8.7411 cm | 7.82 s
Epoch 208 | train MSE 0.008373 m2 | val MAE 6.4163 cm | val RMSE 8.7089 cm | 7.78 s
Epoch 209 | train MSE 0.008413 m2 | val MAE 6.3783 cm | val RMSE 8.6991 cm | 7.71 s
Epoch 210 | train MSE 0.008368 m2 | val MAE 6.3765 cm | val RMSE 8.6824 cm | 7.87 s *
Epoch 211 | train MSE 0.008361 m2 | val MAE 6.3788 cm | val RMSE 8.6862 cm | 7.23 s
Epoch 212 | train MSE 0.008352 m2 | val MAE 6.4199 cm | val RMSE 8.6882 cm | 8.02 s
Epoch 213 | train MSE 0.008339 m2 | val MAE 6.3778 cm | val RMSE 8.6925 cm | 7.48 s
Epoch 214 | train MSE 0.008369 m2 | val MAE 6.5055 cm | val RMSE 8.7774 cm | 7.92 s
Epoch 215 | train MSE 0.008400 m2 | val MAE 6.3951 cm | val RMSE 8.6847 cm | 7.55 s
Epoch 216 | train MSE 0.008332 m2 | val MAE 6.3926 cm | val RMSE 8.6758 cm | 7.88 s *
Epoch 217 | train MSE 0.008340 m2 | val MAE 6.4253 cm | val RMSE 8.6881 cm | 8.19 s
Epoch 218 | train MSE 0.008311 m2 | val MAE 6.4152 cm | val RMSE 8.6780 cm | 8.12 s
Epoch 219 | train MSE 0.008334 m2 | val MAE 6.3560 cm | val RMSE 8.6640 cm | 7.60 s *
Epoch 220 | train MSE 0.008298 m2 | val MAE 6.3627 cm | val RMSE 8.6725 cm | 6.92 s
Epoch 221 | train MSE 0.008298 m2 | val MAE 6.4171 cm | val RMSE 8.7039 cm | 8.13 s
Epoch 222 | train MSE 0.008337 m2 | val MAE 6.5211 cm | val RMSE 8.7604 cm | 7.30 s
Epoch 223 | train MSE 0.008383 m2 | val MAE 6.3838 cm | val RMSE 8.6640 cm | 7.21 s
Epoch 224 | train MSE 0.008299 m2 | val MAE 6.3929 cm | val RMSE 8.6829 cm | 7.39 s
Epoch 225 | train MSE 0.008302 m2 | val MAE 6.4054 cm | val RMSE 8.7092 cm | 7.56 s
Epoch 226 | train MSE 0.008312 m2 | val MAE 6.3818 cm | val RMSE 8.6654 cm | 7.43 s
Epoch 227 | train MSE 0.008328 m2 | val MAE 6.3934 cm | val RMSE 8.6699 cm | 7.39 s
Epoch 228 | train MSE 0.008274 m2 | val MAE 6.4072 cm | val RMSE 8.6697 cm | 8.19 s
Epoch 229 | train MSE 0.008252 m2 | val MAE 6.3779 cm | val RMSE 8.6497 cm | 7.72 s *
Epoch 230 | train MSE 0.008241 m2 | val MAE 6.3793 cm | val RMSE 8.6527 cm | 7.99 s
Epoch 231 | train MSE 0.008252 m2 | val MAE 6.3442 cm | val RMSE 8.6324 cm | 8.73 s *
Epoch 232 | train MSE 0.008236 m2 | val MAE 6.3805 cm | val RMSE 8.6514 cm | 8.83 s
