epoch,train_minibatch_rmse_m,validation_mae_cm,validation_rmse_cm,learning_rate,elapsed_seconds
0,,6.122684696490411,8.363109071998997,0.0003,0.7233830850000231
1,0.081259695972034,6.216877106306988,8.473205734367676,0.0003,10.796396650001043
2,0.08116592159718436,6.229139662963888,8.471493620938928,0.0003,9.676360270999794
3,0.08125158367455773,6.161530077755233,8.443843750961944,0.0003,9.424268766999376
4,0.08108595894276724,6.2177900186733295,8.461446761967354,0.0003,10.069437330001165
5,0.08088544047090326,6.118419047742898,8.428925750033043,0.0003,10.988662335999834
6,0.08090727762698008,6.102699543571581,8.372622918052059,0.0003,10.256662674000836
7,0.08083773383338691,6.157334252868243,8.430299995230088,0.0003,10.07025887599957
8,0.08070357776246423,6.236130975638857,8.479216572668584,0.0003,9.45649215100093
9,0.08077108740978711,6.2551288574345465,8.461233914496617,0.0003,10.327083828999093
10,0.08080629644786827,6.190518247584717,8.428340757842204,0.0003,10.090101645999312
11,0.08074662924001097,6.1646735194461995,8.385134278215078,0.0003,9.81516427599854
12,0.08053694564320049,6.110277292602768,8.37072427863403,0.0003,10.493230419999236
13,0.08049535725708763,6.135796907551633,8.389368355677098,0.0003,9.684173849000217
14,0.08054266113447031,6.08006838455744,8.370108612963085,0.0003,9.578616607001095
15,0.08035139637441743,6.162333631013115,8.372236380866356,0.0003,8.968597450999368
16,0.08036179812144413,6.243406223024889,8.473611383843153,0.0003,10.68963509400055
17,0.08027537537774748,6.1294306623919885,8.385824922468652,0.0003,10.32007876500029
18,0.08030545613439384,6.1463365704972235,8.405398903365052,0.0003,10.272563348999029
19,0.08029400930551632,6.0774851984033065,8.31338112495829,0.0003,9.68797983299919
20,0.08009812280444059,6.082764990470323,8.351376215880821,0.0003,9.208585144000608
21,0.0801111905423273,6.143386505054729,8.362850478991056,0.0003,9.331103081000037
22,0.08025665199069086,6.121875778949345,8.360613140112475,0.0003,9.212424739000198
23,0.07995281292582691,6.23841793733084,8.431968016542347,0.0003,9.026724053999715
24,0.08002858152316612,6.128777809636834,8.355305126805982,0.0003,8.315082084998721
25,0.08007440366192094,6.198099835597112,8.37464873959845,0.0003,9.7174250700009
26,0.07986859457413623,6.0770253609552185,8.308082615162855,0.0003,9.940689654999005
27,0.07985831016338268,6.16447900365836,8.42942427222895,0.0003,9.465200030001142
28,0.07986934635369328,6.212535063726583,8.444409774709506,0.0003,9.274593713000286
29,0.07971462779329729,6.172143617039317,8.421410803587161,0.0003,10.262579651000124
30,0.07968536667048381,6.0802281558142965,8.339878007770883,0.0003,10.44705915600025
31,0.07948012119810015,6.061091323910783,8.295894332874402,0.0003,8.568761358001211
32,0.07951887247952838,6.116043666249851,8.360200092019975,0.0003,10.053470955999728
33,0.07939575492548129,6.0756793339281,8.309044215345407,0.0003,9.801057807000689
34,0.07930180074074793,6.081093897937319,8.32156568776511,0.0003,9.765231749999657
35,0.0792715266857135,6.019259402110358,8.269020367384103,0.0003,9.691557239999383
36,0.07924408277517284,6.010324317766343,8.258540298899229,0.0003,9.46486959899994
37,0.07900438161109745,6.014446809576074,8.304458019582107,0.0003,10.241024941000433
38,0.07902433799617974,6.08032461532721,8.304199736036393,0.0003,10.192243301999042
39,0.07904552399795133,6.007748019438242,8.232924949301932,0.0003,10.619367299999794
40,0.07878988484975,6.174396359867123,8.350958008600012,0.0003,10.28249562000019
41,0.07874907105498596,6.06401526229277,8.288725897216361,0.0003,8.885468881999259
42,0.07898800124371774,6.002398134340609,8.225448532194143,0.0003,9.512483061000239
43,0.07880852502070043,6.08401649603664,8.291632826640475,0.0003,8.379085319000296
44,0.07867060563291217,6.135508195535145,8.38208594410895,0.0003,9.145348406000267
45,0.0787063356729494,6.065851791826123,8.24851799212243,0.0003,9.141150157998709
46,0.07841415563424131,5.9979971287423695,8.218643049068916,0.0003,8.83841227999983
47,0.07847540460413634,6.142027687680355,8.337658139962805,0.0003,8.905323611999847
48,0.0785567637235434,6.043175707091657,8.289093572815549,0.0003,9.31392819300163
49,0.07833914606673535,5.988190217091071,8.197781799974551,0.0003,8.442003684000156
50,0.07845909137619034,6.027538130395456,8.257574111842374,0.0003,8.438512128999719
51,0.07839971420167142,6.041491160919819,8.257540237285234,0.0003,8.950540945999819
52,0.07810545012356089,5.992515844526241,8.195329250609266,0.0003,7.664639640999667
53,0.07829570434080448,6.069086690607096,8.27683915120742,0.0003,8.018477666999388
54,0.07822036021820558,5.9635987481872625,8.179321714019064,0.0003,8.913997384999675
55,0.07818006091194439,6.011224076700018,8.21771973299772,0.0003,8.639577278001525
56,0.07818489149181879,5.999667527469625,8.215787257588262,0.0003,8.413529213999936
57,0.07815288047010659,6.03719485265384,8.229933382697173,0.0003,8.633644354000353
58,0.07787441900997628,5.973760980182251,8.193563005325117,0.0003,8.054242558999249
59,0.07779223023811094,5.976232112500839,8.224611821521416,0.0003,8.74366399199971
60,0.07788643482594204,5.940994074787774,8.158980227577095,0.0003,9.557948042000135
61,0.07785958529440015,5.9665742441990055,8.1700105094085,0.0003,9.365173162999781
62,0.07789645935582529,5.939687041212598,8.160160355147687,0.0003,8.566508357000203
63,0.07785510024054136,5.925461432351526,8.155981313982023,0.0003,8.278682238000329
64,0.07764251455776087,6.02436717769548,8.236171038468994,0.0003,8.93107118899934
65,0.0778003218370533,5.997737840557672,8.19007803303239,0.0003,9.404679806000786
66,0.07767219704672661,5.937835573265915,8.185963557423662,0.0003,8.728585659999226
67,0.07755295537875932,5.97343110412337,8.176814255589376,0.0003,7.923490226001377
68,0.0775616929488597,5.9453456045523465,8.153926246687407,0.0003,9.123810957000387
69,0.07755940222163346,5.906248037627865,8.122524389875558,0.0003,8.679168826000023
70,0.07753423392539863,6.030856661896666,8.22584948894301,0.0003,8.644853053001498
71,0.077547932992099,5.952111669483391,8.142792700023056,0.0003,8.785898776999602
72,0.07734586665019681,5.981397510696628,8.195777158949241,0.0003,8.46250628999951
73,0.0772993788061213,5.930229269591453,8.124393975505514,0.0003,8.864771878001193
74,0.07744705900184573,6.027044020049615,8.244182165658957,0.0003,8.600822185999277
75,0.07739304857377914,6.007346825314673,8.205032847763656,0.0003,8.792532868001217
76,0.07718401583252005,5.985744985771205,8.181395997194713,0.00015,8.646667334000085
77,0.07666715900537915,5.866370920066008,8.077549446392256,0.00015,8.597049003999928
78,0.0765045183791015,5.90581984424299,8.114100120040574,0.00015,8.656734048001454
