stage,frame,token,input_cycle,output_cycle,elapsed_cycles
block_input_queue,10,7,104931,105557,626
block_input_queue,10,8,105558,106190,632
block_input_queue,10,9,106191,106817,626
block_input_queue,10,10,106818,107444,626
block_input_queue,10,11,107445,108071,626
block_input_queue,10,12,108072,108704,632
block_input_queue,10,13,108705,109331,626
block_input_queue,10,14,109332,109958,626
block_input_queue,10,15,109959,110585,626
block_input_queue,11,0,110586,111218,632
block_input_queue,11,1,111219,111845,626
block_input_queue,11,2,111846,112472,626
block_input_queue,11,3,112473,113099,626
block_input_queue,11,4,113100,113732,632
block_input_queue,11,5,113733,114359,626
block_input_queue,11,6,114360,114986,626
block_input_queue,11,7,114987,115613,626
block_input_queue,11,8,115614,116246,632
block_input_queue,11,9,116247,116873,626
block_input_queue,11,10,116874,117500,626
block_input_queue,11,11,117501,118127,626
block_input_queue,11,12,118128,118760,632
block_input_queue,11,13,118761,119387,626
block_input_queue,11,14,119388,120014,626
block_input_queue,11,15,120015,120641,626
block_input_queue,12,0,120642,121274,632
block_input_queue,12,1,121275,121901,626
block_input_queue,12,2,121902,122528,626
block_input_queue,12,3,122529,123155,626
block_input_queue,12,4,123156,123788,632
block_input_queue,12,5,123789,124415,626
block_input_queue,12,6,124416,125042,626
block_input_queue,12,7,125043,125669,626
block_input_queue,12,8,125670,126302,632
block_input_queue,12,9,126303,126929,626
block_input_queue,12,10,126930,127556,626
block_input_queue,12,11,127557,128183,626
block_input_queue,12,12,128184,128816,632
block_input_queue,12,13,128817,129443,626
block_input_queue,12,14,129444,130070,626
block_input_queue,12,15,130071,130697,626
block_input_queue,13,0,130698,131330,632
block_input_queue,13,1,131331,131957,626
block_input_queue,13,2,131958,132584,626
block_input_queue,13,3,132585,133211,626
block_input_queue,13,4,133212,133844,632
block_input_queue,13,5,133845,134471,626
block_input_queue,13,6,134472,135098,626
block_input_queue,13,7,135099,135725,626
block_input_queue,13,8,135726,136358,632
block_input_queue,13,9,136359,136985,626
block_input_queue,13,10,136986,137612,626
block_input_queue,13,11,137613,138239,626
block_input_queue,13,12,138240,138872,632
block_input_queue,13,13,138873,139499,626
block_input_queue,13,14,139500,140126,626
block_input_queue,13,15,140127,140753,626
block_input_queue,14,0,140754,141386,632
block_input_queue,14,1,141387,142013,626
block_input_queue,14,2,142014,142640,626
block_input_queue,14,3,142641,143267,626
block_input_queue,14,4,143268,143900,632
block_input_queue,14,5,143901,144527,626
block_input_queue,14,6,144528,145154,626
block_input_queue,14,7,145155,145781,626
block_input_queue,14,8,145782,146414,632
block_input_queue,14,9,146415,147041,626
block_input_queue,14,10,147042,147668,626
block_input_queue,14,11,147669,148295,626
block_input_queue,14,12,148296,148928,632
block_input_queue,14,13,148929,149555,626
block_input_queue,14,14,149556,150182,626
block_input_queue,14,15,150183,150809,626
block_input_queue,15,0,150810,151442,632
block_input_queue,15,1,151443,152069,626
block_input_queue,15,2,152070,152696,626
block_input_queue,15,3,152697,153323,626
block_input_queue,15,4,153324,153956,632
block_input_queue,15,5,153957,154583,626
block_input_queue,15,6,154584,155210,626
block_input_queue,15,7,155211,155837,626
block_input_queue,15,8,155838,156470,632
block_input_queue,15,9,156471,157097,626
block_input_queue,15,10,157098,157724,626
block_input_queue,15,11,157725,158351,626
block_input_queue,15,12,158352,158984,632
block_input_queue,15,13,158985,159611,626
block_input_queue,15,14,159612,160238,626
block_input_queue,15,15,160239,160865,626
block_input_queue,16,0,160866,161498,632
block_input_queue,16,1,161499,162125,626
block_input_queue,16,2,162126,162752,626
block_input_queue,16,3,162753,163379,626
block_input_queue,16,4,163380,164012,632
block_input_queue,16,5,164013,164639,626
block_input_queue,16,6,164640,165266,626
block_input_queue,16,7,165267,165893,626
block_input_queue,16,8,165894,166526,632
block_input_queue,16,9,166527,167153,626
block_input_queue,16,10,167154,167780,626
block_input_queue,16,11,167781,168407,626
block_input_queue,16,12,168408,169040,632
block_input_queue,16,13,169041,169667,626
block_input_queue,16,14,169668,170294,626
block_input_queue,16,15,170295,170921,626
block_input_queue,17,0,170922,171554,632
block_input_queue,17,1,171555,172181,626
block_input_queue,17,2,172182,172808,626
block_input_queue,17,3,172809,173435,626
block_input_queue,17,4,173436,174068,632
block_input_queue,17,5,174069,174695,626
block_input_queue,17,6,174696,175322,626
block_input_queue,17,7,175323,175949,626
block_input_queue,17,8,175950,176582,632
block_input_queue,17,9,176583,177209,626
block_input_queue,17,10,177210,177836,626
block_input_queue,17,11,177837,178463,626
block_input_queue,17,12,178464,179096,632
block_input_queue,17,13,179097,179723,626
block_input_queue,17,14,179724,180350,626
block_input_queue,17,15,180351,180977,626
block_input_queue,18,0,180978,181610,632
block_input_queue,18,1,181611,182237,626
block_input_queue,18,2,182238,182864,626
block_input_queue,18,3,182865,183491,626
block_input_queue,18,4,183492,184124,632
block_input_queue,18,5,184125,184751,626
block_input_queue,18,6,184752,185378,626
block_input_queue,18,7,185379,186005,626
block_input_queue,18,8,186006,186638,632
block_input_queue,18,9,186639,187265,626
block_input_queue,18,10,187266,187892,626
block_input_queue,18,11,187893,188519,626
block_input_queue,18,12,188520,189152,632
block_input_queue,18,13,189153,189779,626
block_input_queue,18,14,189780,190406,626
block_input_queue,18,15,190407,191033,626
block_input_queue,19,0,191034,191666,632
block_input_queue,19,1,191667,192293,626
block_input_queue,19,2,192294,192920,626
block_input_queue,19,3,192921,193547,626
block_input_queue,19,4,193548,194180,632
block_input_queue,19,5,194181,194807,626
block_input_queue,19,6,194808,195434,626
block_input_queue,19,7,195435,196061,626
block_input_queue,19,8,196062,196694,632
block_input_queue,19,9,196695,197321,626
block_input_queue,19,10,197322,197948,626
block_input_queue,19,11,197949,198575,626
block_input_queue,19,12,198576,199208,632
block_input_queue,19,13,199209,199835,626
block_input_queue,19,14,199836,200462,626
block_input_queue,19,15,200463,201089,626
block_input_queue,20,0,201090,201722,632
block_input_queue,20,1,201723,202349,626
block_input_queue,20,2,202350,202976,626
block_input_queue,20,3,202977,203603,626
block_input_queue,20,4,203604,204236,632
block_input_queue,20,5,204237,204863,626
block_input_queue,20,6,204864,205490,626
block_input_queue,20,7,205491,206117,626
block_input_queue,20,8,206118,206750,632
block_input_queue,20,9,206751,207377,626
block_input_queue,20,10,207378,208004,626
block_input_queue,20,11,208005,208631,626
block_input_queue,20,12,208632,209264,632
block_input_queue,20,13,209265,209891,626
block_input_queue,20,14,209892,210518,626
block_input_queue,20,15,210519,211145,626
block_input_queue,21,0,211146,211778,632
block_input_queue,21,1,211779,212405,626
block_input_queue,21,2,212406,213032,626
block_input_queue,21,3,213033,213659,626
block_input_queue,21,4,213660,214292,632
block_input_queue,21,5,214293,214919,626
block_input_queue,21,6,214920,215546,626
block_input_queue,21,7,215547,216173,626
block_input_queue,21,8,216174,216806,632
block_input_queue,21,9,216807,217433,626
block_input_queue,21,10,217434,218060,626
block_input_queue,21,11,218061,218687,626
block_input_queue,21,12,218688,219320,632
block_input_queue,21,13,219321,219947,626
block_input_queue,21,14,219948,220574,626
block_input_queue,21,15,220575,221201,626
block_input_queue,22,0,221202,221834,632
block_input_queue,22,1,221835,222461,626
block_input_queue,22,2,222462,223088,626
block_input_queue,22,3,223089,223715,626
block_input_queue,22,4,223716,224348,632
block_input_queue,22,5,224349,224975,626
block_input_queue,22,6,224976,225602,626
block_input_queue,22,7,225603,226229,626
block_input_queue,22,8,226230,226862,632
block_input_queue,22,9,226863,227489,626
block_input_queue,22,10,227490,228116,626
block_input_queue,22,11,228117,228743,626
block_input_queue,22,12,228744,229376,632
block_input_queue,22,13,229377,230003,626
block_input_queue,22,14,230004,230630,626
block_input_queue,22,15,230631,231257,626
block_input_queue,23,0,231258,231890,632
block_input_queue,23,1,231891,232517,626
block_input_queue,23,2,232518,233144,626
block_input_queue,23,3,233145,233771,626
block_input_queue,23,4,233772,234404,632
block_input_queue,23,5,234405,235031,626
block_input_queue,23,6,235032,235658,626
block_input_queue,23,7,235659,236285,626
block_input_queue,23,8,236286,236918,632
block_input_queue,23,9,236919,237545,626
block_input_queue,23,10,237546,238172,626
block_input_queue,23,11,238173,238799,626
block_input_queue,23,12,238800,239432,632
block_input_queue,23,13,239433,240059,626
block_input_queue,23,14,240060,240686,626
block_input_queue,23,15,240687,241313,626
block_input_queue,24,0,241314,241946,632
block_input_queue,24,1,241947,242573,626
block_input_queue,24,2,242574,243200,626
block_input_queue,24,3,243201,243827,626
block_input_queue,24,4,243828,244460,632
block_input_queue,24,5,244461,245087,626
block_input_queue,24,6,245088,245714,626
block_input_queue,24,7,245715,246341,626
block_input_queue,24,8,246342,246974,632
block_input_queue,24,9,246975,247601,626
block_input_queue,24,10,247602,248228,626
block_input_queue,24,11,248229,248855,626
block_input_queue,24,12,248856,249488,632
block_input_queue,24,13,249489,250115,626
block_input_queue,24,14,250116,250742,626
block_input_queue,24,15,250743,251369,626
block_input_queue,25,0,251370,252002,632
block_input_queue,25,1,252003,252629,626
block_input_queue,25,2,252630,253256,626
block_input_queue,25,3,253257,253883,626
block_input_queue,25,4,253884,254516,632
block_input_queue,25,5,254517,255143,626
block_input_queue,25,6,255144,255770,626
block_input_queue,25,7,255771,256397,626
block_input_queue,25,8,256398,257030,632
block_input_queue,25,9,257031,257657,626
block_input_queue,25,10,257658,258284,626
block_input_queue,25,11,258285,258911,626
block_input_queue,25,12,258912,259544,632
block_input_queue,25,13,259545,260171,626
block_input_queue,25,14,260172,260798,626
block_input_queue,25,15,260799,261425,626
block_input_queue,26,0,261426,262058,632
block_input_queue,26,1,262059,262685,626
block_input_queue,26,2,262686,263312,626
block_input_queue,26,3,263313,263939,626
block_input_queue,26,4,263940,264572,632
block_input_queue,26,5,264573,265199,626
block_input_queue,26,6,265200,265826,626
block_input_queue,26,7,265827,266453,626
block_input_queue,26,8,266454,267086,632
block_input_queue,26,9,267087,267713,626
block_input_queue,26,10,267714,268340,626
block_input_queue,26,11,268341,268967,626
