event,ordinal,token,cycle,group,item
read,128,0,81504,1,13
response,128,0,81504,1,9
accumulate,128,0,81505,1,7
combine,128,0,81505,1,8
dispatch,128,0,81505,1,13
multiply,128,0,81505,1,9
read,128,0,81505,1,14
response,128,0,81505,1,10
accumulate,128,0,81506,1,8
combine,128,0,81506,1,9
dispatch,128,0,81506,1,14
multiply,128,0,81506,1,10
read,128,0,81506,1,15
response,128,0,81506,1,11
accumulate,128,0,81507,1,9
chunk,128,0,81507,1,1
combine,128,0,81507,1,10
dispatch,128,0,81507,1,15
multiply,128,0,81507,1,11
response,128,0,81507,1,12
accumulate,128,0,81508,1,10
combine,128,0,81508,1,11
multiply,128,0,81508,1,12
read,128,0,81508,1,16
response,128,0,81508,1,13
accumulate,128,0,81509,1,11
combine,128,0,81509,1,12
dispatch,128,0,81509,1,16
multiply,128,0,81509,1,13
read,128,0,81509,1,17
response,128,0,81509,1,14
accumulate,128,0,81510,1,12
combine,128,0,81510,1,13
dispatch,128,0,81510,1,17
multiply,128,0,81510,1,14
read,128,0,81510,1,18
response,128,0,81510,1,15
accumulate,128,0,81511,1,13
combine,128,0,81511,1,14
dispatch,128,0,81511,1,18
multiply,128,0,81511,1,15
read,128,0,81511,1,19
accumulate,128,0,81512,1,14
combine,128,0,81512,1,15
dispatch,128,0,81512,1,19
response,128,0,81512,1,16
accumulate,128,0,81513,1,15
multiply,128,0,81513,1,16
response,128,0,81513,1,17
combine,128,0,81514,1,16
multiply,128,0,81514,1,17
response,128,0,81514,1,18
accumulate,128,0,81515,1,16
combine,128,0,81515,1,17
multiply,128,0,81515,1,18
response,128,0,81515,1,19
accumulate,128,0,81516,1,17
combine,128,0,81516,1,18
multiply,128,0,81516,1,19
accumulate,128,0,81517,1,18
combine,128,0,81517,1,19
last,128,0,81518,1,19
bias,128,0,81519,1,-1
restart,128,0,81519,1,-1
add,128,0,81520,1,-1
group,128,0,81520,2,-1
chunk,128,0,81521,2,0
round,128,0,81521,1,-1
collect,128,0,81522,1,-1
read,128,0,81522,2,0
dispatch,128,0,81523,2,0
read,128,0,81523,2,1
dispatch,128,0,81524,2,1
read,128,0,81524,2,2
dispatch,128,0,81525,2,2
read,128,0,81525,2,3
dispatch,128,0,81526,2,3
read,128,0,81526,2,4
response,128,0,81526,2,0
dispatch,128,0,81527,2,4
multiply,128,0,81527,2,0
read,128,0,81527,2,5
response,128,0,81527,2,1
combine,128,0,81528,2,0
dispatch,128,0,81528,2,5
multiply,128,0,81528,2,1
read,128,0,81528,2,6
response,128,0,81528,2,2
accumulate,128,0,81529,2,0
combine,128,0,81529,2,1
dispatch,128,0,81529,2,6
multiply,128,0,81529,2,2
read,128,0,81529,2,7
response,128,0,81529,2,3
accumulate,128,0,81530,2,1
combine,128,0,81530,2,2
dispatch,128,0,81530,2,7
