epoch,train_mse_m2,validation_mae_cm,validation_rmse_cm,learning_rate,elapsed_seconds
37,0.011395762077699345,8.125501661792748,10.611647228340155,0.001,6.293756134999967
38,0.011076104441554104,7.49732268841855,9.887493223796175,0.001,6.5478908089999095
39,0.010822997700373777,7.773390305206803,10.194033735701806,0.001,6.456050165999841
40,0.010816533652683065,7.478704634105526,9.870107975130784,0.001,6.238662862000183
41,0.010607350974990836,7.293163046363531,9.741826366713465,0.001,6.25650063199987
42,0.010520699575000384,7.642200388540151,10.110520340616128,0.001,6.393123595000134
43,0.010581822255216889,7.803795854124718,10.279477495783947,0.001,6.909639488999801
44,0.01061328279764218,7.354602395169057,9.875333396328832,0.001,6.473176775999946
45,0.010334461748548615,7.28266401465176,9.735131136074733,0.001,6.540139656999827
46,0.010311897403220726,7.436442885923427,9.934893122803212,0.001,6.653973296000004
47,0.010345615896942842,7.666283042622354,10.02844415512388,0.001,6.6512876409999535
48,0.010273211187286229,7.367740579731329,9.788606609896348,0.001,6.687653941999997
49,0.010161125480937986,7.11229751096877,9.547346715792644,0.001,6.536506249000013
50,0.010005307075135899,7.269603798682742,9.651833875686554,0.001,6.721528135999961
51,0.00995205074045948,8.27133882341665,10.942471307470058,0.001,7.514208369000016
52,0.010307953530592974,7.336808302386032,9.729842972956007,0.001,6.639299742000048
53,0.010071161266707016,8.39993498932563,10.657444710739062,0.001,6.582926819000022
54,0.009994988460471435,7.190704674560827,9.708866542032277,0.001,6.584327997000173
55,0.009964594724487866,6.923795878834206,9.348239018176978,0.001,6.583835373000056
56,0.009618890591490192,7.0309839864531485,9.372000065893724,0.001,6.597314347000065
57,0.00958793933015649,7.620563421256293,10.008661567441548,0.001,6.6585127920000104
58,0.009652501409214715,7.025163256932189,9.41211457649826,0.001,6.6906392609998875
59,0.009482035053564056,7.778303569412813,10.182905706953433,0.001,6.383545491999939
60,0.009713701906586995,6.89449864486433,9.200561969288517,0.001,6.957708549000017
61,0.009332718547024338,7.136244074667448,9.456330563989264,0.001,6.502096673000096
62,0.009347293088716466,7.09801292191104,9.41030715948429,0.001,6.70961777499997
63,0.00926418218521441,7.131668589389366,9.600865235113071,0.001,6.606177089000084
64,0.009255908879223982,6.761937644814156,9.105866265905378,0.001,6.663124136000079
65,0.009084183881708653,7.01797878965554,9.321862780552758,0.001,6.615599452999959
66,0.009098611772369983,7.327543458615172,9.698764095058756,0.001,6.722503889999871
67,0.009093827833699771,6.643723626510059,9.023127674972352,0.001,6.6700843589999295
68,0.008950306181424,7.248522369640326,9.523545298357886,0.001,6.745069238000042
69,0.009066777755273758,6.9470980272695755,9.284112288837443,0.001,6.800636492999956
70,0.009062107977649522,7.00687358415573,9.547457375483964,0.001,7.368681747999972
71,0.008978671004747567,7.532643298885169,9.881369594283449,0.001,6.541286095000032
