epoch,train_minibatch_rmse_m,validation_mae_cm,validation_rmse_cm,learning_rate,elapsed_seconds
0,,6.276383209603696,8.54694788975057,0.0001,0.5755077860012534
1,0.08287687367838358,6.289192210236916,8.565458318926195,0.0001,12.336237777999486
2,0.08278953469159706,6.32922604424255,8.589363099443988,0.0001,11.726743238999916
3,0.08273799712720539,6.281581220046475,8.549838355256329,0.0001,11.215624589000072
4,0.08272973241510954,6.269852942552724,8.567536618314145,0.0001,12.138680364994798
5,0.08275042807202401,6.2764222306014785,8.556435451984099,0.0001,11.270137792998867
6,0.08271364785491217,6.303109149281506,8.575079074826645,0.0001,11.376647363998927
7,0.08262248925984197,6.2588140455708965,8.527268596544003,0.0001,11.514178550001816
8,0.0825693726221973,6.300761136869262,8.570883168888637,0.0001,11.607395670995174
9,0.08259194987547186,6.283301418873591,8.553315185034728,0.0001,11.889552511005604
10,0.08254009192744603,6.273625968211179,8.555942475709394,0.0001,12.271759294999356
11,0.08246474978343354,6.273592434506903,8.531905963050702,0.0001,12.533450397000706
12,0.08243632543704203,6.223685898836616,8.522038507751908,0.0001,11.960290262999479
13,0.08240000916609173,6.277921986593509,8.565375117948404,0.0001,12.270354596003017
14,0.08238076885251504,6.307227930879051,8.571776026348758,0.0001,11.987471452994214
15,0.0823571651655124,6.272164876092517,8.526726192625055,0.0001,12.63477413700457
16,0.08232154169205882,6.2478795532831235,8.532999776739608,0.0001,12.082173774993862
17,0.08232887633696544,6.256866160036253,8.543046929443845,0.0001,11.647055144996557
18,0.08230184673362714,6.234896088318153,8.508635577942478,0.0001,12.480293808999704
19,0.08222649284224157,6.25660029580285,8.519734087758078,0.0001,12.92166670900042
20,0.08218283661940166,6.289595443599258,8.565117682053447,0.0001,12.512640697001189
21,0.08214458375259012,6.234083589566595,8.511478930877237,0.0001,13.1416102209987
22,0.08218247371922405,6.241353657801601,8.504865535927253,0.0001,11.945191931001318
23,0.08212415381385572,6.243900882353539,8.515904092311493,0.0001,14.045621507997566
24,0.08214075334056213,6.223745393388712,8.493797771594561,0.0001,12.576895332997083
25,0.08208797086637969,6.21553970214627,8.483125765388994,0.0001,13.84492888100067
26,0.08201836521123439,6.260412383892401,8.520645575895477,0.0001,12.930852466000943
27,0.08199216170131363,6.218566469992278,8.478478134084414,0.0001,12.280477484993753
28,0.08193098214819258,6.221405832980946,8.50089412386117,0.0001,11.720728491003683
29,0.08197691855487914,6.222627467689154,8.496787704285715,0.0001,12.145203742999001
30,0.08196838365413102,6.204081397849272,8.471928850176047,0.0001,12.200494032003917
31,0.08189570817959871,6.229330940921716,8.488051855309866,0.0001,12.771514929001569
32,0.08186765789594336,6.2362878965844635,8.486631670662195,0.0001,13.45553298699815
33,0.08186000132564693,6.208438388964642,8.479735440264484,0.0001,13.809167052000703
34,0.0818248074583794,6.226221575148586,8.488303536426343,0.0001,13.260210323998763
35,0.08176575586859805,6.200074003350918,8.471037112670054,0.0001,14.121806283001206
36,0.08172329493918978,6.207178752211043,8.47443561894139,0.0001,11.433114099003433
37,0.08176037521848187,6.196198531572783,8.4764418300442,0.0001,12.738472255005036
38,0.08176991957290347,6.215546389453908,8.47607028614973,0.0001,12.300988861003134
39,0.08170309262767374,6.25235454332251,8.506130447347061,0.0001,14.313483942001767
40,0.08172535002206831,6.197525685289165,8.452502500810105,0.0001,13.272909259001608
41,0.08161385076984715,6.213822167142532,8.467199098691372,0.0001,13.17717020100099
42,0.08162388595889644,6.266007468237951,8.4987499778224,0.0001,13.112394862000656
43,0.08155144246564902,6.249771654162438,8.541340707534152,0.0001,12.380227991001448
44,0.0815712009800161,6.226947093582884,8.48816889938304,0.0001,12.408966700000747
45,0.08151900128234724,6.211501903718397,8.459797916861026,0.0001,12.08822015899932
46,0.0814693956380868,6.184100682312778,8.46237190988772,5e-05,13.176648396998644
47,0.08132229623285937,6.1995748607914285,8.448301752632792,5e-05,12.251845254002546
48,0.08130050732878084,6.184243268766116,8.438067356547359,5e-05,12.981774464999035
49,0.08129643025040022,6.1728368518285,8.44812293395974,5e-05,12.923237363997032
50,0.08123809399251519,6.189444683407639,8.444309337485128,5e-05,11.597644299996318
51,0.08124372755897656,6.170561937350867,8.442167219467697,5e-05,11.574323854001705
52,0.08123261909128514,6.1690968858881305,8.42928393241599,5e-05,10.596227617003024
53,0.0812354402391084,6.171886008948579,8.437441158583743,5e-05,10.335107216000324
54,0.08118899926440452,6.185463275412471,8.43333680535266,5e-05,11.199911024996254
55,0.08120954272310246,6.174987098938149,8.425999739948834,5e-05,11.103565842997341
56,0.08119585179922478,6.190757943897894,8.431346962368137,5e-05,11.646123092003108
57,0.08118895024152842,6.1731984206347335,8.421804571178727,5e-05,10.108381397993071
58,0.08114591232523957,6.186678173912736,8.431354942734723,5e-05,10.53264840599877
59,0.08115185108439817,6.154988713302136,8.422145517533872,5e-05,11.394498273002682
60,0.08116973008253693,6.159194515712467,8.424700240651726,5e-05,10.84287684699666
61,0.08112799262815726,6.160989146039678,8.416243844089948,5e-05,9.673342722000598
62,0.08114065078008129,6.1810885424012225,8.430685895206144,5e-05,9.420970134999152
63,0.08112640627366909,6.180650140455046,8.421589303948734,5e-05,8.366421751999951
64,0.0811123138951966,6.177765395491025,8.427553392029568,5e-05,8.97360893000041
65,0.08107943168309505,6.168654400502859,8.421901758029334,5e-05,8.866107394998835
66,0.0810508979098226,6.161935245516898,8.42900348065828,5e-05,9.245439588999943
67,0.08104240420521876,6.165073048957655,8.422347617512811,2.5e-05,8.773030948999804
68,0.08091142732514751,6.155418515708388,8.41500949549843,2.5e-05,8.209616127000118
69,0.08094355381259317,6.163234321358451,8.420995441962589,2.5e-05,8.757048671999655
70,0.08098794361174745,6.154118567061531,8.419414847072847,2.5e-05,7.404799472000377
71,0.08090379971261334,6.174858172959328,8.419858067083192,2.5e-05,8.909020073999272
72,0.08090275972722465,6.1668016679071025,8.422940817685387,2.5e-05,8.980896487000791
73,0.08091885484628107,6.159944267822877,8.4138330304903,2.5e-05,8.998894911999741
74,0.08087343793106348,6.172092378007123,8.424217737611746,2.5e-05,8.565393361999668
75,0.08089909564648286,6.16448985791438,8.434347697566077,2.5e-05,10.163219297999603
76,0.08091598688233556,6.162544071375471,8.407016206079346,2.5e-05,9.465460302999418
77,0.08085195587196127,6.161951207287906,8.410906971564957,2.5e-05,10.209621336000055
78,0.08087815121769766,6.164785920768896,8.410191952226496,2.5e-05,9.836098019999554
79,0.08086175003630715,6.167594032004239,8.413967649518241,2.5e-05,9.127751714000624
80,0.08085796945177834,6.165870863233452,8.406911956685585,2.5e-05,9.966983144000551
81,0.08085538887944412,6.1458953711056745,8.40536293244832,2.5e-05,10.075634445000105
82,0.08086211021705071,6.141490105636412,8.400820889928546,2.5e-05,8.52467403099945
83,0.0808637901291723,6.160199998208365,8.42310411207812,2.5e-05,9.343782902000385
84,0.08082094310576121,6.161484534091474,8.418576775118167,2.5e-05,9.67195389600056
85,0.08087263962608872,6.163894424435109,8.411710737156008,2.5e-05,10.80586060799942
86,0.08083614286508661,6.147537921579125,8.41053719384452,2.5e-05,9.615036906001478
87,0.08083150986088865,6.145669050312112,8.40650262019223,2.5e-05,9.618969084000128
88,0.08080418473921501,6.155778240003099,8.400406801739628,1.25e-05,9.26967057100046
89,0.08072596290648394,6.1418817497051235,8.400827401949634,1.25e-05,9.80717106299926
90,0.08074009382637086,6.1527269836370495,8.402192413579316,1.25e-05,9.501912342999276
91,0.08072059274123493,6.165409149677207,8.408560605155122,1.25e-05,9.73372392499914
92,0.08073474295783457,6.145767943972458,8.397297980019752,1.25e-05,9.464645288999236
93,0.0807617254041926,6.145503492980811,8.405753478665808,1.25e-05,8.706379568000557
94,0.08076206610897112,6.142506174381651,8.400375056751871,1.25e-05,9.679837330000737
95,0.08073880255029137,6.1496870853592185,8.39790073633856,1.25e-05,10.040544043999034
96,0.08073609717159926,6.148271141056956,8.398465575716003,1.25e-05,9.812666024001373
97,0.08074325291155224,6.165976073289905,8.405681899208234,1.25e-05,9.514531319000525
98,0.0807137618380513,6.14057092426917,8.396420560692492,1.25e-05,10.248094697000852
99,0.08072844956206095,6.157066351960455,8.404576588574216,1.25e-05,8.74894988000051
