SWAY_PERF_OUTPUT,129,4,56794
SWAY_PERF_OUTPUT,130,2,56795
SWAY_PERF_OUTPUT,131,1,56796
SWAY_PERF_OUTPUT,132,9,56797
SWAY_PERF_OUTPUT,133,63,56798
SWAY_PERF_OUTPUT,134,63,56799
SWAY_PERF_OUTPUT,135,63,56800
SWAY_PERF_OUTPUT,136,63,56801
SWAY_PERF_OUTPUT,137,62,56802
SWAY_PERF_OUTPUT,138,62,56803
SWAY_PERF_OUTPUT,139,60,56804
SWAY_PERF_OUTPUT,140,62,56805
SWAY_PERF_OUTPUT,141,64,56806
SWAY_PERF_OUTPUT,142,62,56807
SWAY_PERF_OUTPUT,143,62,56808
SWAY_PERF_OUTPUT,144,62,56809
SWAY_PERF_OUTPUT,145,63,56810
SWAY_PERF_OUTPUT,146,62,56811
SWAY_PERF_OUTPUT,147,62,56812
SWAY_PERF_OUTPUT,148,62,56813
SWAY_PERF_OUTPUT,149,63,56814
SWAY_PERF_OUTPUT,150,59,56815
SWAY_PERF_OUTPUT,151,63,56816
SWAY_PERF_OUTPUT,152,-8,56817
SWAY_PERF_OUTPUT,153,2,56818
SWAY_PERF_OUTPUT,154,13,56819
SWAY_PERF_OUTPUT,155,17,56820
SWAY_PERF_OUTPUT,156,9,56821
SWAY_PERF_OUTPUT,157,2,56822
SWAY_PERF_OUTPUT,158,-4,56823
SWAY_PERF_OUTPUT,159,8,56824
SWAY_PERF_OUTPUT,160,2,56825
SWAY_PERF_OUTPUT,161,-4,56826
SWAY_PERF_OUTPUT,162,-7,56827
SWAY_PERF_OUTPUT,163,-17,56828
SWAY_PERF_OUTPUT,164,-28,56829
SWAY_PERF_OUTPUT,165,-30,56830
SWAY_PERF_OUTPUT,166,-7,56831
SWAY_PERF_OUTPUT,167,-16,56832
SWAY_PERF_OUTPUT,168,-26,56833
SWAY_PERF_OUTPUT,169,-29,56834
SWAY_PERF_OUTPUT,170,10,56835
SWAY_PERF_FRAME,2,56779,56835
SWAY_PERF_INPUT_FRAME,5,42264,58055
SWAY_PERF_OUTPUT,171,7,72571
SWAY_PERF_OUTPUT,172,7,72572
SWAY_PERF_OUTPUT,173,6,72573
SWAY_PERF_OUTPUT,174,7,72574
SWAY_PERF_OUTPUT,175,13,72575
SWAY_PERF_OUTPUT,176,17,72576
SWAY_PERF_OUTPUT,177,20,72577
SWAY_PERF_OUTPUT,178,1,72578
SWAY_PERF_OUTPUT,179,-3,72579
SWAY_PERF_OUTPUT,180,-4,72580
SWAY_PERF_OUTPUT,181,10,72581
SWAY_PERF_OUTPUT,182,11,72582
SWAY_PERF_OUTPUT,183,13,72583
SWAY_PERF_OUTPUT,184,13,72584
SWAY_PERF_OUTPUT,185,5,72585
SWAY_PERF_OUTPUT,186,4,72586
SWAY_PERF_OUTPUT,187,2,72587
SWAY_PERF_OUTPUT,188,2,72588
SWAY_PERF_OUTPUT,189,7,72589
SWAY_PERF_OUTPUT,190,62,72590
SWAY_PERF_OUTPUT,191,62,72591
SWAY_PERF_OUTPUT,192,62,72592
SWAY_PERF_OUTPUT,193,61,72593
SWAY_PERF_OUTPUT,194,63,72594
SWAY_PERF_OUTPUT,195,65,72595
SWAY_PERF_OUTPUT,196,62,72596
SWAY_PERF_OUTPUT,197,60,72597
SWAY_PERF_OUTPUT,198,59,72598
SWAY_PERF_OUTPUT,199,57,72599
SWAY_PERF_OUTPUT,200,60,72600
SWAY_PERF_OUTPUT,201,60,72601
SWAY_PERF_OUTPUT,202,59,72602
SWAY_PERF_OUTPUT,203,56,72603
SWAY_PERF_OUTPUT,204,60,72604
SWAY_PERF_OUTPUT,205,63,72605
SWAY_PERF_OUTPUT,206,65,72606
SWAY_PERF_OUTPUT,207,62,72607
SWAY_PERF_OUTPUT,208,62,72608
SWAY_PERF_OUTPUT,209,-3,72609
SWAY_PERF_OUTPUT,210,7,72610
SWAY_PERF_OUTPUT,211,17,72611
SWAY_PERF_OUTPUT,212,22,72612
SWAY_PERF_OUTPUT,213,14,72613
SWAY_PERF_OUTPUT,214,10,72614
SWAY_PERF_OUTPUT,215,8,72615
SWAY_PERF_OUTPUT,216,14,72616
SWAY_PERF_OUTPUT,217,8,72617
SWAY_PERF_OUTPUT,218,4,72618
SWAY_PERF_OUTPUT,219,-2,72619
SWAY_PERF_OUTPUT,220,-15,72620
SWAY_PERF_OUTPUT,221,-26,72621
SWAY_PERF_OUTPUT,222,-28,72622
SWAY_PERF_OUTPUT,223,-3,72623
SWAY_PERF_OUTPUT,224,-15,72624
SWAY_PERF_OUTPUT,225,-26,72625
SWAY_PERF_OUTPUT,226,-28,72626
SWAY_PERF_OUTPUT,227,15,72627
SWAY_PERF_FRAME,3,72571,72627
SWAY_PERF_INPUT_FRAME,6,58056,73847
SWAY_PERF_OUTPUT,228,8,88363
SWAY_PERF_OUTPUT,229,9,88364
SWAY_PERF_OUTPUT,230,9,88365
SWAY_PERF_OUTPUT,231,9,88366
SWAY_PERF_OUTPUT,232,14,88367
SWAY_PERF_OUTPUT,233,20,88368
SWAY_PERF_OUTPUT,234,23,88369
SWAY_PERF_OUTPUT,235,3,88370
SWAY_PERF_OUTPUT,236,-4,88371
SWAY_PERF_OUTPUT,237,-9,88372
SWAY_PERF_OUTPUT,238,11,88373
SWAY_PERF_OUTPUT,239,13,88374
SWAY_PERF_OUTPUT,240,13,88375
SWAY_PERF_OUTPUT,241,14,88376
SWAY_PERF_OUTPUT,242,6,88377
SWAY_PERF_OUTPUT,243,0,88378
SWAY_PERF_OUTPUT,244,-5,88379
SWAY_PERF_OUTPUT,245,-5,88380
SWAY_PERF_OUTPUT,246,9,88381
SWAY_PERF_OUTPUT,247,62,88382
SWAY_PERF_OUTPUT,248,61,88383
SWAY_PERF_OUTPUT,249,60,88384
SWAY_PERF_OUTPUT,250,59,88385
SWAY_PERF_OUTPUT,251,59,88386
SWAY_PERF_OUTPUT,252,59,88387
SWAY_PERF_OUTPUT,253,58,88388
SWAY_PERF_OUTPUT,254,60,88389
SWAY_PERF_OUTPUT,255,60,88390
SWAY_PERF_OUTPUT,256,59,88391
SWAY_PERF_OUTPUT,257,60,88392
SWAY_PERF_OUTPUT,258,58,88393
SWAY_PERF_OUTPUT,259,61,88394
SWAY_PERF_OUTPUT,260,59,88395
SWAY_PERF_OUTPUT,261,61,88396
SWAY_PERF_OUTPUT,262,59,88397
SWAY_PERF_OUTPUT,263,61,88398
SWAY_PERF_OUTPUT,264,58,88399
SWAY_PERF_OUTPUT,265,60,88400
SWAY_PERF_OUTPUT,266,-8,88401
SWAY_PERF_OUTPUT,267,2,88402
SWAY_PERF_OUTPUT,268,11,88403
SWAY_PERF_OUTPUT,269,15,88404
SWAY_PERF_OUTPUT,270,8,88405
SWAY_PERF_OUTPUT,271,6,88406
SWAY_PERF_OUTPUT,272,5,88407
SWAY_PERF_OUTPUT,273,8,88408
SWAY_PERF_OUTPUT,274,6,88409
SWAY_PERF_OUTPUT,275,8,88410
SWAY_PERF_OUTPUT,276,-7,88411
SWAY_PERF_OUTPUT,277,-16,88412
SWAY_PERF_OUTPUT,278,-27,88413
SWAY_PERF_OUTPUT,279,-29,88414
SWAY_PERF_OUTPUT,280,-7,88415
SWAY_PERF_OUTPUT,281,-14,88416
SWAY_PERF_OUTPUT,282,-25,88417
SWAY_PERF_OUTPUT,283,-27,88418
SWAY_PERF_OUTPUT,284,9,88419
SWAY_PERF_FRAME,4,88363,88419
SWAY_PERF_INPUT_FRAME,7,73848,89639
SWAY_PERF_OUTPUT,285,4,104155
SWAY_PERF_OUTPUT,286,4,104156
SWAY_PERF_OUTPUT,287,3,104157
SWAY_PERF_OUTPUT,288,3,104158
SWAY_PERF_OUTPUT,289,9,104159
SWAY_PERF_OUTPUT,290,16,104160
SWAY_PERF_OUTPUT,291,19,104161
SWAY_PERF_OUTPUT,292,-2,104162
SWAY_PERF_OUTPUT,293,-7,104163
SWAY_PERF_OUTPUT,294,-8,104164
SWAY_PERF_OUTPUT,295,7,104165
SWAY_PERF_OUTPUT,296,11,104166
SWAY_PERF_OUTPUT,297,13,104167
SWAY_PERF_OUTPUT,298,14,104168
SWAY_PERF_OUTPUT,299,2,104169
SWAY_PERF_OUTPUT,300,-1,104170
SWAY_PERF_OUTPUT,301,-2,104171
SWAY_PERF_OUTPUT,302,-2,104172
SWAY_PERF_OUTPUT,303,3,104173
SWAY_PERF_OUTPUT,304,61,104174
SWAY_PERF_OUTPUT,305,61,104175
SWAY_PERF_OUTPUT,306,60,104176
SWAY_PERF_OUTPUT,307,60,104177
SWAY_PERF_OUTPUT,308,60,104178
SWAY_PERF_OUTPUT,309,61,104179
SWAY_PERF_OUTPUT,310,59,104180
SWAY_PERF_OUTPUT,311,59,104181
SWAY_PERF_OUTPUT,312,59,104182
SWAY_PERF_OUTPUT,313,58,104183
SWAY_PERF_OUTPUT,314,60,104184
SWAY_PERF_OUTPUT,315,59,104185
SWAY_PERF_OUTPUT,316,60,104186
SWAY_PERF_OUTPUT,317,57,104187
SWAY_PERF_OUTPUT,318,60,104188
SWAY_PERF_OUTPUT,319,59,104189
SWAY_PERF_OUTPUT,320,62,104190
SWAY_PERF_OUTPUT,321,59,104191
SWAY_PERF_OUTPUT,322,60,104192
SWAY_PERF_OUTPUT,323,-6,104193
SWAY_PERF_OUTPUT,324,4,104194
SWAY_PERF_OUTPUT,325,14,104195
SWAY_PERF_OUTPUT,326,18,104196
SWAY_PERF_OUTPUT,327,11,104197
SWAY_PERF_OUTPUT,328,10,104198
SWAY_PERF_OUTPUT,329,11,104199
SWAY_PERF_OUTPUT,330,10,104200
SWAY_PERF_OUTPUT,331,6,104201
SWAY_PERF_OUTPUT,332,5,104202
SWAY_PERF_OUTPUT,333,-5,104203
SWAY_PERF_OUTPUT,334,-15,104204
SWAY_PERF_OUTPUT,335,-25,104205
SWAY_PERF_OUTPUT,336,-28,104206
SWAY_PERF_OUTPUT,337,-6,104207
SWAY_PERF_OUTPUT,338,-15,104208
SWAY_PERF_OUTPUT,339,-27,104209
SWAY_PERF_OUTPUT,340,-29,104210
SWAY_PERF_OUTPUT,341,12,104211
SWAY_PERF_FRAME,5,104155,104211
SWAY_PERF_INPUT_FRAME,8,89640,105431
SWAY_PERF_OUTPUT,342,4,119947
SWAY_PERF_OUTPUT,343,4,119948
SWAY_PERF_OUTPUT,344,3,119949
SWAY_PERF_OUTPUT,345,3,119950
SWAY_PERF_OUTPUT,346,10,119951
SWAY_PERF_OUTPUT,347,16,119952
SWAY_PERF_OUTPUT,348,21,119953
SWAY_PERF_OUTPUT,349,-3,119954
SWAY_PERF_OUTPUT,350,-10,119955
SWAY_PERF_OUTPUT,351,-15,119956
SWAY_PERF_OUTPUT,352,7,119957
SWAY_PERF_OUTPUT,353,11,119958
SWAY_PERF_OUTPUT,354,15,119959
SWAY_PERF_OUTPUT,355,15,119960
SWAY_PERF_OUTPUT,356,2,119961
SWAY_PERF_OUTPUT,357,-2,119962
SWAY_PERF_OUTPUT,358,-5,119963
SWAY_PERF_OUTPUT,359,-5,119964
SWAY_PERF_OUTPUT,360,3,119965
SWAY_PERF_OUTPUT,361,63,119966
SWAY_PERF_OUTPUT,362,62,119967
SWAY_PERF_OUTPUT,363,61,119968
SWAY_PERF_OUTPUT,364,61,119969
SWAY_PERF_OUTPUT,365,62,119970
SWAY_PERF_OUTPUT,366,62,119971
SWAY_PERF_OUTPUT,367,60,119972
SWAY_PERF_OUTPUT,368,61,119973
SWAY_PERF_OUTPUT,369,61,119974
SWAY_PERF_OUTPUT,370,60,119975
SWAY_PERF_OUTPUT,371,61,119976
SWAY_PERF_OUTPUT,372,60,119977
SWAY_PERF_OUTPUT,373,61,119978
SWAY_PERF_OUTPUT,374,59,119979
SWAY_PERF_OUTPUT,375,61,119980
SWAY_PERF_OUTPUT,376,61,119981
SWAY_PERF_OUTPUT,377,63,119982
SWAY_PERF_OUTPUT,378,60,119983
SWAY_PERF_OUTPUT,379,61,119984
SWAY_PERF_OUTPUT,380,-4,119985
SWAY_PERF_OUTPUT,381,6,119986
SWAY_PERF_OUTPUT,382,17,119987
SWAY_PERF_OUTPUT,383,21,119988
SWAY_PERF_OUTPUT,384,13,119989
SWAY_PERF_OUTPUT,385,13,119990
SWAY_PERF_OUTPUT,386,14,119991
SWAY_PERF_OUTPUT,387,13,119992
SWAY_PERF_OUTPUT,388,12,119993
SWAY_PERF_OUTPUT,389,15,119994
SWAY_PERF_OUTPUT,390,-3,119995
SWAY_PERF_OUTPUT,391,-14,119996
SWAY_PERF_OUTPUT,392,-26,119997
SWAY_PERF_OUTPUT,393,-28,119998
SWAY_PERF_OUTPUT,394,-3,119999
SWAY_PERF_OUTPUT,395,-14,120000
SWAY_PERF_OUTPUT,396,-26,120001
SWAY_PERF_OUTPUT,397,-28,120002
SWAY_PERF_OUTPUT,398,14,120003
SWAY_PERF_FRAME,6,119947,120003
SWAY_PERF_INPUT_FRAME,9,105432,121223
SWAY_PERF_OUTPUT,399,8,135739
