---------------------------------------------------------------------
[STEP 1] Loading official MARS train and validation arrays
[STEP 2] Training 15717 parameters on 24066 frames
Epoch  56 | train MSE 0.009619 m2 | val MAE 7.0310 cm | val RMSE 9.3720 cm | 6.60 s
Epoch  57 | train MSE 0.009588 m2 | val MAE 7.6206 cm | val RMSE 10.0087 cm | 6.66 s
Epoch  58 | train MSE 0.009653 m2 | val MAE 7.0252 cm | val RMSE 9.4121 cm | 6.69 s
Epoch  59 | train MSE 0.009482 m2 | val MAE 7.7783 cm | val RMSE 10.1829 cm | 6.38 s
Epoch  60 | train MSE 0.009714 m2 | val MAE 6.8945 cm | val RMSE 9.2006 cm | 6.96 s *
Epoch  61 | train MSE 0.009333 m2 | val MAE 7.1362 cm | val RMSE 9.4563 cm | 6.50 s
Epoch  62 | train MSE 0.009347 m2 | val MAE 7.0980 cm | val RMSE 9.4103 cm | 6.71 s
Epoch  63 | train MSE 0.009264 m2 | val MAE 7.1317 cm | val RMSE 9.6009 cm | 6.61 s
Epoch  64 | train MSE 0.009256 m2 | val MAE 6.7619 cm | val RMSE 9.1059 cm | 6.66 s *
Epoch  65 | train MSE 0.009084 m2 | val MAE 7.0180 cm | val RMSE 9.3219 cm | 6.62 s
Epoch  66 | train MSE 0.009099 m2 | val MAE 7.3275 cm | val RMSE 9.6988 cm | 6.72 s
Epoch  67 | train MSE 0.009094 m2 | val MAE 6.6437 cm | val RMSE 9.0231 cm | 6.67 s *
Epoch  68 | train MSE 0.008950 m2 | val MAE 7.2485 cm | val RMSE 9.5235 cm | 6.75 s
Epoch  69 | train MSE 0.009067 m2 | val MAE 6.9471 cm | val RMSE 9.2841 cm | 6.80 s
Epoch  70 | train MSE 0.009062 m2 | val MAE 7.0069 cm | val RMSE 9.5475 cm | 7.37 s
Epoch  71 | train MSE 0.008979 m2 | val MAE 7.5326 cm | val RMSE 9.8814 cm | 6.54 s
Epoch  72 | train MSE 0.009276 m2 | val MAE 6.9238 cm | val RMSE 9.2268 cm | 6.61 s
Epoch  73 | train MSE 0.008767 m2 | val MAE 6.6893 cm | val RMSE 9.0279 cm | 6.34 s
Epoch  74 | train MSE 0.008781 m2 | val MAE 7.0583 cm | val RMSE 9.3278 cm | 6.91 s
Epoch  75 | train MSE 0.008814 m2 | val MAE 7.0838 cm | val RMSE 9.2772 cm | 6.62 s
Epoch  76 | train MSE 0.008740 m2 | val MAE 6.6281 cm | val RMSE 8.9238 cm | 6.70 s *
Epoch  77 | train MSE 0.008569 m2 | val MAE 7.1551 cm | val RMSE 9.4176 cm | 6.46 s
Epoch  78 | train MSE 0.008634 m2 | val MAE 7.3676 cm | val RMSE 9.7043 cm | 6.52 s
Epoch  79 | train MSE 0.008723 m2 | val MAE 6.8663 cm | val RMSE 9.1332 cm | 6.66 s
Epoch  80 | train MSE 0.008581 m2 | val MAE 6.8859 cm | val RMSE 9.2058 cm | 6.34 s
Epoch  81 | train MSE 0.008678 m2 | val MAE 6.5282 cm | val RMSE 8.7886 cm | 6.10 s *
Epoch  82 | train MSE 0.008414 m2 | val MAE 6.6588 cm | val RMSE 8.9079 cm | 7.01 s
Epoch  83 | train MSE 0.008443 m2 | val MAE 7.5786 cm | val RMSE 9.9600 cm | 6.54 s
Epoch  84 | train MSE 0.008738 m2 | val MAE 6.5810 cm | val RMSE 8.8504 cm | 6.56 s
Epoch  85 | train MSE 0.008432 m2 | val MAE 6.4470 cm | val RMSE 8.7743 cm | 6.58 s *
Epoch  86 | train MSE 0.008268 m2 | val MAE 7.0026 cm | val RMSE 9.4464 cm | 6.53 s
Epoch  87 | train MSE 0.009133 m2 | val MAE 6.8367 cm | val RMSE 9.0609 cm | 6.26 s
Epoch  88 | train MSE 0.008380 m2 | val MAE 6.7263 cm | val RMSE 8.9975 cm | 6.84 s
Epoch  89 | train MSE 0.008411 m2 | val MAE 6.5537 cm | val RMSE 8.8320 cm | 6.58 s
Epoch  90 | train MSE 0.008275 m2 | val MAE 6.5960 cm | val RMSE 8.8319 cm | 6.77 s
Epoch  91 | train MSE 0.008187 m2 | val MAE 6.4409 cm | val RMSE 8.8004 cm | 6.84 s
Epoch  92 | train MSE 0.008172 m2 | val MAE 6.5696 cm | val RMSE 8.8978 cm | 6.67 s
Epoch  93 | train MSE 0.008207 m2 | val MAE 6.5440 cm | val RMSE 8.9027 cm | 6.81 s
Epoch  94 | train MSE 0.008198 m2 | val MAE 6.4338 cm | val RMSE 8.7130 cm | 6.68 s *
Epoch  95 | train MSE 0.008095 m2 | val MAE 6.6093 cm | val RMSE 8.8285 cm | 6.80 s
Epoch  96 | train MSE 0.008086 m2 | val MAE 7.2254 cm | val RMSE 9.8349 cm | 6.98 s
Epoch  97 | train MSE 0.009200 m2 | val MAE 7.1258 cm | val RMSE 9.3967 cm | 6.64 s
Epoch  98 | train MSE 0.008473 m2 | val MAE 7.3247 cm | val RMSE 9.5685 cm | 6.58 s
Epoch  99 | train MSE 0.008874 m2 | val MAE 6.6933 cm | val RMSE 8.9708 cm | 6.54 s
Epoch 100 | train MSE 0.008315 m2 | val MAE 6.7352 cm | val RMSE 9.1200 cm | 6.75 s
Epoch 101 | train MSE 0.008434 m2 | val MAE 7.3610 cm | val RMSE 9.5242 cm | 6.50 s
Epoch 102 | train MSE 0.008247 m2 | val MAE 6.8505 cm | val RMSE 9.1686 cm | 6.73 s
Epoch 103 | train MSE 0.008307 m2 | val MAE 6.3612 cm | val RMSE 8.6538 cm | 6.57 s *
Epoch 104 | train MSE 0.007947 m2 | val MAE 8.2646 cm | val RMSE 10.7989 cm | 6.61 s
Epoch 105 | train MSE 0.009214 m2 | val MAE 6.8137 cm | val RMSE 9.0260 cm | 7.13 s
Epoch 106 | train MSE 0.008122 m2 | val MAE 6.8433 cm | val RMSE 9.0026 cm | 6.70 s
Epoch 107 | train MSE 0.008105 m2 | val MAE 6.2911 cm | val RMSE 8.4837 cm | 7.06 s *
Epoch 108 | train MSE 0.007836 m2 | val MAE 6.2653 cm | val RMSE 8.5581 cm | 7.01 s
Epoch 109 | train MSE 0.007868 m2 | val MAE 6.5831 cm | val RMSE 8.8011 cm | 6.79 s
Epoch 110 | train MSE 0.008046 m2 | val MAE 6.4478 cm | val RMSE 8.7185 cm | 6.70 s
Epoch 111 | train MSE 0.007856 m2 | val MAE 6.6108 cm | val RMSE 8.9342 cm | 6.89 s
Epoch 112 | train MSE 0.007943 m2 | val MAE 7.0307 cm | val RMSE 9.2913 cm | 6.49 s
Epoch 113 | train MSE 0.008785 m2 | val MAE 6.8645 cm | val RMSE 9.1126 cm | 6.39 s
Epoch 114 | train MSE 0.008140 m2 | val MAE 6.3966 cm | val RMSE 8.6185 cm | 6.41 s
Epoch 115 | train MSE 0.007803 m2 | val MAE 7.4088 cm | val RMSE 9.6429 cm | 6.56 s
Epoch 116 | train MSE 0.008042 m2 | val MAE 6.3931 cm | val RMSE 8.6221 cm | 6.56 s
Epoch 117 | train MSE 0.007651 m2 | val MAE 6.2482 cm | val RMSE 8.4751 cm | 6.66 s *
Epoch 118 | train MSE 0.007611 m2 | val MAE 6.1240 cm | val RMSE 8.3943 cm | 6.79 s *
Epoch 119 | train MSE 0.007543 m2 | val MAE 6.1660 cm | val RMSE 8.4167 cm | 6.61 s
Epoch 120 | train MSE 0.007593 m2 | val MAE 6.3048 cm | val RMSE 8.5203 cm | 6.56 s
Epoch 121 | train MSE 0.007587 m2 | val MAE 6.3240 cm | val RMSE 8.5796 cm | 6.68 s
