epoch,train_mse_m2,validation_mae_cm,validation_rmse_cm,learning_rate,elapsed_seconds
0,,7.952317825962755,10.421101567345817,0.0001,23.912481016996026
1,0.009128849359272086,6.732267965708029,9.0630618777052,0.0001,51.96729987699655
2,0.00899975836983801,6.691491826462074,9.022791551964758,0.0001,49.75418712700048
3,0.008965410573991119,6.66686855988421,9.007955999806464,0.0001,50.54783223200502
4,0.00892901970211348,6.693820877250367,9.03402197798313,0.0001,50.93352392500674
5,0.008915108856931978,6.7007076822423235,8.984274290474708,0.0001,49.088649025005
6,0.008875332311636938,6.744545100305952,9.040812370049506,0.0001,50.25461742300104
7,0.008822399340354808,6.659301979741666,8.96716859449606,0.0001,50.598271889997704
8,0.008808374973816608,6.67804486180717,8.984643562190174,0.0001,85.2471760910048
9,0.008781532590657282,6.632916783135105,8.945356953933734,0.0001,42.74217564999708
10,0.008786343964296471,6.793445863704065,9.074805311063905,0.0001,44.21558397500485
11,0.008754338447859333,6.683532513555947,8.96003159993854,0.0001,44.38136377600313
12,0.008770142203116544,6.630194944712084,8.953708892949939,0.0001,44.7183552619972
13,0.00872337848562919,6.661630795332452,8.989464120996109,0.0001,43.89026699500391
14,0.008732161329012604,6.64647602637766,8.947543828787408,0.0001,47.30866365900147
15,0.008701285052458504,6.706416194115687,8.989594385553227,5e-05,48.15648405600223
16,0.008666187068538025,6.583667450806156,8.89457659415938,5e-05,47.642331625000224
17,0.008614219179944902,6.619283520486128,8.920502859907613,5e-05,45.209306698001456
18,0.008635381222199093,6.528639661059999,8.828973693267654,5e-05,47.164764626999386
19,0.008610248972861402,6.557054042851953,8.867399720986132,5e-05,45.66107198700047
20,0.00859559967014547,6.58160700265756,8.869061389337164,5e-05,50.5236180399952
21,0.008594993955837212,6.570333406324999,8.858516188240667,5e-05,50.77282671700232
22,0.008607560558783117,6.55978947522965,8.85465103665066,5e-05,53.81906515800074
23,0.008555492258438826,6.527212041891022,8.812852499534499,5e-05,53.66810401199473
24,0.008563710403515879,6.524989178781468,8.844910327109261,5e-05,52.7327165789975
25,0.008567991607983386,6.566813339305379,8.832803681977037,5e-05,56.73000014600257
26,0.008572252736462725,6.586883757392118,8.857231906926133,5e-05,55.644013010998606
27,0.00855023870750027,6.564634899546708,8.83052532439857,5e-05,53.795932832996186
28,0.008533589806456295,6.546525094331581,8.853380779472545,5e-05,56.4873769429978
29,0.008531216672545586,6.523517947252416,8.805236005699536,5e-05,57.148575662999065
30,0.008511658398956023,6.577853251673743,8.838224237967417,5e-05,55.302646955002274
31,0.008525181481021691,6.508382287372662,8.783803011719435,5e-05,55.54973252900527
32,0.00851049421965484,6.530582645602824,8.793054605926438,5e-05,48.027151155001775
33,0.008509313562994987,6.472080830406039,8.778435327155355,5e-05,48.88158872200438
34,0.008513021361564822,6.614797374827066,8.878177808157686,5e-05,47.39722711099603
35,0.008507194406624834,6.481319787436926,8.763667536568986,5e-05,43.70477307699912
36,0.008492908460614918,6.509958594191008,8.797073456936003,5e-05,44.926794580002024
37,0.008482785792915287,6.518377308983819,8.80552138389609,5e-05,44.233381124002335
38,0.008493871436586163,6.549228773726509,8.79808099119988,5e-05,43.78168661399832
39,0.00848399100973484,6.55690361402069,8.842586843291853,5e-05,42.210644083999796
40,0.008483054109634722,6.571919526452639,8.841766375825877,5e-05,39.60972392199619
