stage,frame,token,input_cycle,output_cycle,elapsed_cycles
patch_queue,0,0,348,349,1
embedding,0,0,349,601,252
block0,0,0,601,3117,2516
block1,0,0,3117,5633,2516
patch_queue,0,1,371,601,230
embedding,0,1,601,853,252
block0,0,1,853,3744,2891
block1,0,1,3744,6260,2516
patch_queue,0,2,602,853,251
embedding,0,2,853,1105,252
block0,0,2,1105,4371,3266
block1,0,2,4371,6887,2516
patch_queue,0,3,854,1105,251
embedding,0,3,1105,1413,308
block0,0,3,1413,4998,3585
block1,0,3,4998,7514,2516
patch_queue,0,4,1106,1357,251
embedding,0,4,1357,1818,461
block0,0,4,1818,5631,3813
block1,0,4,5631,8147,2516
patch_queue,0,5,1358,1609,251
embedding,0,5,1609,3117,1508
block0,0,5,3117,6258,3141
block1,0,5,6258,8774,2516
patch_queue,0,6,1610,1861,251
embedding,0,6,1861,3744,1883
block0,0,6,3744,6885,3141
block1,0,6,6885,9401,2516
patch_queue,0,7,1862,3119,1257
embedding,0,7,3119,4371,1252
block0,0,7,4371,7512,3141
block1,0,7,7512,10028,2516
patch_queue,0,8,3120,3746,626
embedding,0,8,3746,4998,1252
block0,0,8,4998,8145,3147
block1,0,8,8145,10661,2516
patch_queue,0,9,3747,4373,626
embedding,0,9,4373,5631,1258
block0,0,9,5631,8772,3141
block1,0,9,8772,11288,2516
patch_queue,0,10,4374,5000,626
embedding,0,10,5000,6258,1258
block0,0,10,6258,9399,3141
block1,0,10,9399,11915,2516
patch_queue,0,11,5001,5633,632
embedding,0,11,5633,6885,1252
block0,0,11,6885,10026,3141
block1,0,11,10026,12542,2516
patch_queue,0,12,5634,6260,626
embedding,0,12,6260,7512,1252
block0,0,12,7512,10659,3147
block1,0,12,10659,13175,2516
patch_queue,0,13,6261,6887,626
embedding,0,13,6887,8145,1258
block0,0,13,8145,11286,3141
block1,0,13,11286,13802,2516
patch_queue,0,14,6888,7514,626
embedding,0,14,7514,8772,1258
block0,0,14,8772,11913,3141
block1,0,14,11913,14429,2516
patch_queue,0,15,7515,8147,632
embedding,0,15,8147,9399,1252
block0,0,15,9399,12540,3141
block1,0,15,12540,15056,2516
head_hidden_first_token,0,0,5633,18349,12716
head_hidden_last_token,0,15,15056,18349,3293
head_output,0,0,18349,19091,742
serializer,0,0,19091,19149,58
patch_queue,1,0,8148,8774,626
embedding,1,0,8774,10026,1252
block0,1,0,10026,13173,3147
block1,1,0,13173,15689,2516
patch_queue,1,1,8775,9401,626
embedding,1,1,9401,10659,1258
block0,1,1,10659,13800,3141
block1,1,1,13800,16316,2516
patch_queue,1,2,9402,10028,626
embedding,1,2,10028,11286,1258
block0,1,2,11286,14427,3141
block1,1,2,14427,16943,2516
patch_queue,1,3,10029,10661,632
embedding,1,3,10661,11913,1252
block0,1,3,11913,15054,3141
block1,1,3,15054,17570,2516
patch_queue,1,4,10662,11288,626
embedding,1,4,11288,12540,1252
block0,1,4,12540,15687,3147
block1,1,4,15687,18203,2516
patch_queue,1,5,11289,11915,626
embedding,1,5,11915,13173,1258
block0,1,5,13173,16314,3141
block1,1,5,16314,18830,2516
patch_queue,1,6,11916,12542,626
embedding,1,6,12542,13800,1258
block0,1,6,13800,16941,3141
block1,1,6,16941,19457,2516
patch_queue,1,7,12543,13175,632
embedding,1,7,13175,14427,1252
block0,1,7,14427,17568,3141
block1,1,7,17568,20084,2516
patch_queue,1,8,13176,13802,626
embedding,1,8,13802,15054,1252
block0,1,8,15054,18201,3147
block1,1,8,18201,20717,2516
patch_queue,1,9,13803,14429,626
embedding,1,9,14429,15687,1258
block0,1,9,15687,18828,3141
block1,1,9,18828,21344,2516
patch_queue,1,10,14430,15056,626
embedding,1,10,15056,16314,1258
block0,1,10,16314,19455,3141
block1,1,10,19455,21971,2516
patch_queue,1,11,15057,15689,632
embedding,1,11,15689,16941,1252
block0,1,11,16941,20082,3141
block1,1,11,20082,22598,2516
patch_queue,1,12,15690,16316,626
embedding,1,12,16316,17568,1252
block0,1,12,17568,20715,3147
block1,1,12,20715,23231,2516
patch_queue,1,13,16317,16943,626
embedding,1,13,16943,18201,1258
block0,1,13,18201,21342,3141
block1,1,13,21342,23858,2516
patch_queue,1,14,16944,17570,626
embedding,1,14,17570,18828,1258
block0,1,14,18828,21969,3141
block1,1,14,21969,24485,2516
patch_queue,1,15,17571,18203,632
embedding,1,15,18203,19455,1252
block0,1,15,19455,22596,3141
block1,1,15,22596,25112,2516
head_hidden_first_token,1,0,15689,28405,12716
head_hidden_last_token,1,15,25112,28405,3293
head_output,1,0,28405,29147,742
serializer,1,0,29147,29205,58
patch_queue,2,0,18204,18830,626
embedding,2,0,18830,20082,1252
block0,2,0,20082,23229,3147
block1,2,0,23229,25745,2516
patch_queue,2,1,18831,19457,626
embedding,2,1,19457,20715,1258
block0,2,1,20715,23856,3141
block1,2,1,23856,26372,2516
patch_queue,2,2,19458,20084,626
embedding,2,2,20084,21342,1258
block0,2,2,21342,24483,3141
block1,2,2,24483,26999,2516
patch_queue,2,3,20085,20717,632
embedding,2,3,20717,21969,1252
block0,2,3,21969,25110,3141
block1,2,3,25110,27626,2516
patch_queue,2,4,20718,21344,626
embedding,2,4,21344,22596,1252
block0,2,4,22596,25743,3147
block1,2,4,25743,28259,2516
patch_queue,2,5,21345,21971,626
embedding,2,5,21971,23229,1258
block0,2,5,23229,26370,3141
block1,2,5,26370,28886,2516
patch_queue,2,6,21972,22598,626
embedding,2,6,22598,23856,1258
block0,2,6,23856,26997,3141
block1,2,6,26997,29513,2516
patch_queue,2,7,22599,23231,632
embedding,2,7,23231,24483,1252
block0,2,7,24483,27624,3141
block1,2,7,27624,30140,2516
patch_queue,2,8,23232,23858,626
embedding,2,8,23858,25110,1252
block0,2,8,25110,28257,3147
block1,2,8,28257,30773,2516
patch_queue,2,9,23859,24485,626
embedding,2,9,24485,25743,1258
block0,2,9,25743,28884,3141
block1,2,9,28884,31400,2516
patch_queue,2,10,24486,25112,626
embedding,2,10,25112,26370,1258
block0,2,10,26370,29511,3141
block1,2,10,29511,32027,2516
patch_queue,2,11,25113,25745,632
embedding,2,11,25745,26997,1252
block0,2,11,26997,30138,3141
block1,2,11,30138,32654,2516
patch_queue,2,12,25746,26372,626
embedding,2,12,26372,27624,1252
block0,2,12,27624,30771,3147
block1,2,12,30771,33287,2516
patch_queue,2,13,26373,26999,626
embedding,2,13,26999,28257,1258
block0,2,13,28257,31398,3141
block1,2,13,31398,33914,2516
patch_queue,2,14,27000,27626,626
embedding,2,14,27626,28884,1258
block0,2,14,28884,32025,3141
block1,2,14,32025,34541,2516
patch_queue,2,15,27627,28259,632
embedding,2,15,28259,29511,1252
block0,2,15,29511,32652,3141
block1,2,15,32652,35168,2516
head_hidden_first_token,2,0,25745,38461,12716
head_hidden_last_token,2,15,35168,38461,3293
head_output,2,0,38461,39203,742
serializer,2,0,39203,39261,58
patch_queue,3,0,28260,28886,626
embedding,3,0,28886,30138,1252
block0,3,0,30138,33285,3147
block1,3,0,33285,35801,2516
patch_queue,3,1,28887,29513,626
embedding,3,1,29513,30771,1258
block0,3,1,30771,33912,3141
block1,3,1,33912,36428,2516
patch_queue,3,2,29514,30140,626
embedding,3,2,30140,31398,1258
block0,3,2,31398,34539,3141
block1,3,2,34539,37055,2516
patch_queue,3,3,30141,30773,632
embedding,3,3,30773,32025,1252
block0,3,3,32025,35166,3141
block1,3,3,35166,37682,2516
patch_queue,3,4,30774,31400,626
embedding,3,4,31400,32652,1252
block0,3,4,32652,35799,3147
block1,3,4,35799,38315,2516
patch_queue,3,5,31401,32027,626
embedding,3,5,32027,33285,1258
block0,3,5,33285,36426,3141
block1,3,5,36426,38942,2516
patch_queue,3,6,32028,32654,626
embedding,3,6,32654,33912,1258
block0,3,6,33912,37053,3141
block1,3,6,37053,39569,2516
patch_queue,3,7,32655,33287,632
embedding,3,7,33287,34539,1252
block0,3,7,34539,37680,3141
block1,3,7,37680,40196,2516
patch_queue,3,8,33288,33914,626
embedding,3,8,33914,35166,1252
block0,3,8,35166,38313,3147
block1,3,8,38313,40829,2516
patch_queue,3,9,33915,34541,626
embedding,3,9,34541,35799,1258
block0,3,9,35799,38940,3141
block1,3,9,38940,41456,2516
patch_queue,3,10,34542,35168,626
embedding,3,10,35168,36426,1258
block0,3,10,36426,39567,3141
block1,3,10,39567,42083,2516
patch_queue,3,11,35169,35801,632
embedding,3,11,35801,37053,1252
block0,3,11,37053,40194,3141
block1,3,11,40194,42710,2516
patch_queue,3,12,35802,36428,626
embedding,3,12,36428,37680,1252
block0,3,12,37680,40827,3147
block1,3,12,40827,43343,2516
patch_queue,3,13,36429,37055,626
embedding,3,13,37055,38313,1258
block0,3,13,38313,41454,3141
block1,3,13,41454,43970,2516
patch_queue,3,14,37056,37682,626
embedding,3,14,37682,38940,1258
block0,3,14,38940,42081,3141
block1,3,14,42081,44597,2516
patch_queue,3,15,37683,38315,632
embedding,3,15,38315,39567,1252
block0,3,15,39567,42708,3141
block1,3,15,42708,45224,2516
head_hidden_first_token,3,0,35801,48517,12716
head_hidden_last_token,3,15,45224,48517,3293
head_output,3,0,48517,49259,742
serializer,3,0,49259,49317,58
patch_queue,4,0,38316,38942,626
embedding,4,0,38942,40194,1252
block0,4,0,40194,43341,3147
block1,4,0,43341,45857,2516
patch_queue,4,1,38943,39569,626
embedding,4,1,39569,40827,1258
block0,4,1,40827,43968,3141
block1,4,1,43968,46484,2516
patch_queue,4,2,39570,40196,626
embedding,4,2,40196,41454,1258
block0,4,2,41454,44595,3141
block1,4,2,44595,47111,2516
patch_queue,4,3,40197,40829,632
embedding,4,3,40829,42081,1252
block0,4,3,42081,45222,3141
block1,4,3,45222,47738,2516
patch_queue,4,4,40830,41456,626
embedding,4,4,41456,42708,1252
block0,4,4,42708,45855,3147
block1,4,4,45855,48371,2516
patch_queue,4,5,41457,42083,626
embedding,4,5,42083,43341,1258
block0,4,5,43341,46482,3141
block1,4,5,46482,48998,2516
patch_queue,4,6,42084,42710,626
embedding,4,6,42710,43968,1258
block0,4,6,43968,47109,3141
block1,4,6,47109,49625,2516
patch_queue,4,7,42711,43343,632
embedding,4,7,43343,44595,1252
block0,4,7,44595,47736,3141
block1,4,7,47736,50252,2516
patch_queue,4,8,43344,43970,626
embedding,4,8,43970,45222,1252
block0,4,8,45222,48369,3147
block1,4,8,48369,50885,2516
patch_queue,4,9,43971,44597,626
embedding,4,9,44597,45855,1258
block0,4,9,45855,48996,3141
block1,4,9,48996,51512,2516
patch_queue,4,10,44598,45224,626
embedding,4,10,45224,46482,1258
block0,4,10,46482,49623,3141
block1,4,10,49623,52139,2516
patch_queue,4,11,45225,45857,632
embedding,4,11,45857,47109,1252
block0,4,11,47109,50250,3141
block1,4,11,50250,52766,2516
patch_queue,4,12,45858,46484,626
embedding,4,12,46484,47736,1252
block0,4,12,47736,50883,3147
block1,4,12,50883,53399,2516
patch_queue,4,13,46485,47111,626
embedding,4,13,47111,48369,1258
block0,4,13,48369,51510,3141
block1,4,13,51510,54026,2516
patch_queue,4,14,47112,47738,626
embedding,4,14,47738,48996,1258
block0,4,14,48996,52137,3141
block1,4,14,52137,54653,2516
patch_queue,4,15,47739,48371,632
embedding,4,15,48371,49623,1252
block0,4,15,49623,52764,3141
block1,4,15,52764,55280,2516
head_hidden_first_token,4,0,45857,58573,12716
head_hidden_last_token,4,15,55280,58573,3293
head_output,4,0,58573,59315,742
serializer,4,0,59315,59373,58
patch_queue,5,0,48372,48998,626
embedding,5,0,48998,50250,1252
