stage,frame,token,input_cycle,output_cycle,elapsed_cycles
block_input_queue,0,0,601,602,1
block_input_queue,0,1,853,1007,154
block_input_queue,0,2,1105,1412,307
block_input_queue,0,3,1413,1817,404
block_input_queue,0,4,1818,2964,1146
block_input_queue,0,5,2965,3554,589
block_input_queue,0,6,3555,4144,589
block_input_queue,0,7,4145,4734,589
block_input_queue,0,8,4735,5326,591
block_input_queue,0,9,5327,5916,589
block_input_queue,0,10,5917,6506,589
block_input_queue,0,11,6507,7096,589
block_input_queue,0,12,7097,7688,591
block_input_queue,0,13,7689,8278,589
block_input_queue,0,14,8279,8868,589
block_input_queue,0,15,8869,9458,589
block_input_queue,1,0,9459,10050,591
block_input_queue,1,1,10051,10640,589
block_input_queue,1,2,10641,11230,589
block_input_queue,1,3,11231,11820,589
block_input_queue,1,4,11821,12412,591
block_input_queue,1,5,12413,13002,589
block_input_queue,1,6,13003,13592,589
block_input_queue,1,7,13593,14182,589
block_input_queue,1,8,14183,14774,591
block_input_queue,1,9,14775,15364,589
block_input_queue,1,10,15365,15954,589
block_input_queue,1,11,15955,16544,589
block_input_queue,1,12,16545,17136,591
block_input_queue,1,13,17137,17726,589
block_input_queue,1,14,17727,18316,589
block_input_queue,1,15,18317,18906,589
block_input_queue,2,0,18907,19498,591
block_input_queue,2,1,19499,20088,589
block_input_queue,2,2,20089,20678,589
block_input_queue,2,3,20679,21268,589
block_input_queue,2,4,21269,21860,591
block_input_queue,2,5,21861,22450,589
block_input_queue,2,6,22451,23040,589
block_input_queue,2,7,23041,23630,589
block_input_queue,2,8,23631,24222,591
block_input_queue,2,9,24223,24812,589
block_input_queue,2,10,24813,25402,589
block_input_queue,2,11,25403,25992,589
block_input_queue,2,12,25993,26584,591
block_input_queue,2,13,26585,27174,589
block_input_queue,2,14,27175,27764,589
block_input_queue,2,15,27765,28354,589
block_input_queue,3,0,28355,28946,591
block_input_queue,3,1,28947,29536,589
block_input_queue,3,2,29537,30126,589
block_input_queue,3,3,30127,30716,589
block_input_queue,3,4,30717,31308,591
block_input_queue,3,5,31309,31898,589
block_input_queue,3,6,31899,32488,589
block_input_queue,3,7,32489,33078,589
block_input_queue,3,8,33079,33670,591
block_input_queue,3,9,33671,34260,589
block_input_queue,3,10,34261,34850,589
block_input_queue,3,11,34851,35440,589
block_input_queue,3,12,35441,36032,591
block_input_queue,3,13,36033,36622,589
block_input_queue,3,14,36623,37212,589
block_input_queue,3,15,37213,37802,589
block_input_queue,4,0,37803,38394,591
block_input_queue,4,1,38395,38984,589
block_input_queue,4,2,38985,39574,589
block_input_queue,4,3,39575,40164,589
block_input_queue,4,4,40165,40756,591
block_input_queue,4,5,40757,41346,589
block_input_queue,4,6,41347,41936,589
block_input_queue,4,7,41937,42526,589
block_input_queue,4,8,42527,43118,591
block_input_queue,4,9,43119,43708,589
block_input_queue,4,10,43709,44298,589
block_input_queue,4,11,44299,44888,589
block_input_queue,4,12,44889,45480,591
block_input_queue,4,13,45481,46070,589
block_input_queue,4,14,46071,46660,589
block_input_queue,4,15,46661,47250,589
block_input_queue,5,0,47251,47842,591
block_input_queue,5,1,47843,48432,589
block_input_queue,5,2,48433,49022,589
block_input_queue,5,3,49023,49612,589
block_input_queue,5,4,49613,50204,591
block_input_queue,5,5,50205,50794,589
block_input_queue,5,6,50795,51384,589
block_input_queue,5,7,51385,51974,589
block_input_queue,5,8,51975,52566,591
block_input_queue,5,9,52567,53156,589
block_input_queue,5,10,53157,53746,589
block_input_queue,5,11,53747,54336,589
block_input_queue,5,12,54337,54928,591
block_input_queue,5,13,54929,55518,589
block_input_queue,5,14,55519,56108,589
block_input_queue,5,15,56109,56698,589
block_input_queue,6,0,56699,57290,591
block_input_queue,6,1,57291,57880,589
block_input_queue,6,2,57881,58470,589
block_input_queue,6,3,58471,59060,589
block_input_queue,6,4,59061,59652,591
block_input_queue,6,5,59653,60242,589
block_input_queue,6,6,60243,60832,589
block_input_queue,6,7,60833,61422,589
block_input_queue,6,8,61423,62014,591
block_input_queue,6,9,62015,62604,589
block_input_queue,6,10,62605,63194,589
block_input_queue,6,11,63195,63784,589
block_input_queue,6,12,63785,64376,591
block_input_queue,6,13,64377,64966,589
block_input_queue,6,14,64967,65556,589
block_input_queue,6,15,65557,66146,589
block_input_queue,7,0,66147,66738,591
block_input_queue,7,1,66739,67328,589
block_input_queue,7,2,67329,67918,589
block_input_queue,7,3,67919,68508,589
block_input_queue,7,4,68509,69100,591
block_input_queue,7,5,69101,69690,589
block_input_queue,7,6,69691,70280,589
block_input_queue,7,7,70281,70870,589
block_input_queue,7,8,70871,71462,591
block_input_queue,7,9,71463,72052,589
block_input_queue,7,10,72053,72642,589
block_input_queue,7,11,72643,73232,589
block_input_queue,7,12,73233,73824,591
block_input_queue,7,13,73825,74414,589
block_input_queue,7,14,74415,75004,589
block_input_queue,7,15,75005,75594,589
block_input_queue,8,0,75595,76186,591
block_input_queue,8,1,76187,76776,589
block_input_queue,8,2,76777,77366,589
block_input_queue,8,3,77367,77956,589
block_input_queue,8,4,77957,78548,591
block_input_queue,8,5,78549,79138,589
block_input_queue,8,6,79139,79728,589
block_input_queue,8,7,79729,80318,589
block_input_queue,8,8,80319,80910,591
block_input_queue,8,9,80911,81500,589
block_input_queue,8,10,81501,82090,589
block_input_queue,8,11,82091,82680,589
block_input_queue,8,12,82681,83272,591
block_input_queue,8,13,83273,83862,589
block_input_queue,8,14,83863,84452,589
block_input_queue,8,15,84453,85042,589
block_input_queue,9,0,85043,85634,591
block_input_queue,9,1,85635,86224,589
block_input_queue,9,2,86225,86814,589
block_input_queue,9,3,86815,87404,589
block_input_queue,9,4,87405,87996,591
block_input_queue,9,5,87997,88586,589
block_input_queue,9,6,88587,89176,589
block_input_queue,9,7,89177,89766,589
block_input_queue,9,8,89767,90358,591
block_input_queue,9,9,90359,90948,589
block_input_queue,9,10,90949,91538,589
block_input_queue,9,11,91539,92128,589
block_input_queue,9,12,92129,92720,591
block_input_queue,9,13,92721,93310,589
block_input_queue,9,14,93311,93900,589
block_input_queue,9,15,93901,94490,589
block_input_queue,10,0,94491,95082,591
block_input_queue,10,1,95083,95672,589
block_input_queue,10,2,95673,96262,589
block_input_queue,10,3,96263,96852,589
block_input_queue,10,4,96853,97444,591
block_input_queue,10,5,97445,98034,589
block_input_queue,10,6,98035,98624,589
block_input_queue,10,7,98625,99214,589
block_input_queue,10,8,99215,99806,591
block_input_queue,10,9,99807,100396,589
block_input_queue,10,10,100397,100986,589
block_input_queue,10,11,100987,101576,589
block_input_queue,10,12,101577,102168,591
block_input_queue,10,13,102169,102758,589
block_input_queue,10,14,102759,103348,589
block_input_queue,10,15,103349,103938,589
block_input_queue,11,0,103939,104530,591
block_input_queue,11,1,104531,105120,589
block_input_queue,11,2,105121,105710,589
block_input_queue,11,3,105711,106300,589
block_input_queue,11,4,106301,106892,591
