event,ordinal,token,cycle,group,item
put,128,0,76591,-1,-1
capture,128,0,76592,-1,-1
start,128,0,76593,-1,-1
group,128,0,76594,0,-1
chunk,128,0,76595,0,0
read,128,0,76596,0,0
dispatch,128,0,76597,0,0
read,128,0,76597,0,1
dispatch,128,0,76598,0,1
read,128,0,76598,0,2
dispatch,128,0,76599,0,2
read,128,0,76599,0,3
dispatch,128,0,76600,0,3
read,128,0,76600,0,4
response,128,0,76600,0,0
dispatch,128,0,76601,0,4
multiply,128,0,76601,0,0
read,128,0,76601,0,5
response,128,0,76601,0,1
combine,128,0,76602,0,0
dispatch,128,0,76602,0,5
multiply,128,0,76602,0,1
read,128,0,76602,0,6
response,128,0,76602,0,2
accumulate,128,0,76603,0,0
combine,128,0,76603,0,1
dispatch,128,0,76603,0,6
multiply,128,0,76603,0,2
read,128,0,76603,0,7
response,128,0,76603,0,3
accumulate,128,0,76604,0,1
combine,128,0,76604,0,2
dispatch,128,0,76604,0,7
multiply,128,0,76604,0,3
read,128,0,76604,0,8
response,128,0,76604,0,4
accumulate,128,0,76605,0,2
combine,128,0,76605,0,3
dispatch,128,0,76605,0,8
multiply,128,0,76605,0,4
read,128,0,76605,0,9
response,128,0,76605,0,5
accumulate,128,0,76606,0,3
combine,128,0,76606,0,4
dispatch,128,0,76606,0,9
multiply,128,0,76606,0,5
read,128,0,76606,0,10
response,128,0,76606,0,6
accumulate,128,0,76607,0,4
combine,128,0,76607,0,5
dispatch,128,0,76607,0,10
multiply,128,0,76607,0,6
read,128,0,76607,0,11
response,128,0,76607,0,7
accumulate,128,0,76608,0,5
combine,128,0,76608,0,6
dispatch,128,0,76608,0,11
multiply,128,0,76608,0,7
read,128,0,76608,0,12
response,128,0,76608,0,8
accumulate,128,0,76609,0,6
combine,128,0,76609,0,7
dispatch,128,0,76609,0,12
multiply,128,0,76609,0,8
read,128,0,76609,0,13
response,128,0,76609,0,9
accumulate,128,0,76610,0,7
combine,128,0,76610,0,8
dispatch,128,0,76610,0,13
multiply,128,0,76610,0,9
read,128,0,76610,0,14
response,128,0,76610,0,10
accumulate,128,0,76611,0,8
combine,128,0,76611,0,9
dispatch,128,0,76611,0,14
multiply,128,0,76611,0,10
read,128,0,76611,0,15
response,128,0,76611,0,11
accumulate,128,0,76612,0,9
chunk,128,0,76612,0,1
combine,128,0,76612,0,10
dispatch,128,0,76612,0,15
multiply,128,0,76612,0,11
response,128,0,76612,0,12
accumulate,128,0,76613,0,10
combine,128,0,76613,0,11
multiply,128,0,76613,0,12
read,128,0,76613,0,16
response,128,0,76613,0,13
accumulate,128,0,76614,0,11
combine,128,0,76614,0,12
dispatch,128,0,76614,0,16
multiply,128,0,76614,0,13
read,128,0,76614,0,17
response,128,0,76614,0,14
accumulate,128,0,76615,0,12
combine,128,0,76615,0,13
dispatch,128,0,76615,0,17
multiply,128,0,76615,0,14
read,128,0,76615,0,18
response,128,0,76615,0,15
accumulate,128,0,76616,0,13
combine,128,0,76616,0,14
dispatch,128,0,76616,0,18
multiply,128,0,76616,0,15
read,128,0,76616,0,19
accumulate,128,0,76617,0,14
combine,128,0,76617,0,15
dispatch,128,0,76617,0,19
group,128,0,76617,1,-1
response,128,0,76617,0,16
accumulate,128,0,76618,0,15
chunk,128,0,76618,1,0
multiply,128,0,76618,0,16
response,128,0,76618,0,17
combine,128,0,76619,0,16
multiply,128,0,76619,0,17
read,128,0,76619,1,0
response,128,0,76619,0,18
accumulate,128,0,76620,0,16
combine,128,0,76620,0,17
dispatch,128,0,76620,1,0
multiply,128,0,76620,0,18
read,128,0,76620,1,1
response,128,0,76620,0,19
accumulate,128,0,76621,0,17
combine,128,0,76621,0,18
dispatch,128,0,76621,1,1
multiply,128,0,76621,0,19
