---------------------------------------------------------------------
[STEP 1] Loading official MARS train and validation arrays
[STEP 2] Training 15717 parameters on 24066 frames
Epoch  56 | train MSE 0.010822 m2 | val MAE 8.0600 cm | val RMSE 10.5512 cm | 6.21 s
Epoch  57 | train MSE 0.010942 m2 | val MAE 7.2256 cm | val RMSE 9.7322 cm | 6.48 s *
Epoch  58 | train MSE 0.010625 m2 | val MAE 7.5531 cm | val RMSE 10.0552 cm | 5.98 s
Epoch  59 | train MSE 0.010667 m2 | val MAE 7.4697 cm | val RMSE 9.8991 cm | 6.02 s
Epoch  60 | train MSE 0.010626 m2 | val MAE 7.3739 cm | val RMSE 9.8303 cm | 6.01 s
Epoch  61 | train MSE 0.010574 m2 | val MAE 7.5352 cm | val RMSE 9.9252 cm | 6.03 s
Epoch  62 | train MSE 0.010563 m2 | val MAE 8.7437 cm | val RMSE 11.1984 cm | 6.29 s
Epoch  63 | train MSE 0.011032 m2 | val MAE 7.3813 cm | val RMSE 9.7838 cm | 7.35 s
Epoch  64 | train MSE 0.010511 m2 | val MAE 7.3964 cm | val RMSE 9.8848 cm | 8.05 s
Epoch  65 | train MSE 0.010428 m2 | val MAE 7.4575 cm | val RMSE 9.9302 cm | 8.34 s
Epoch  66 | train MSE 0.010429 m2 | val MAE 8.2256 cm | val RMSE 10.6969 cm | 7.66 s
Epoch  67 | train MSE 0.010500 m2 | val MAE 7.1515 cm | val RMSE 9.5479 cm | 6.58 s *
Epoch  68 | train MSE 0.010183 m2 | val MAE 7.1040 cm | val RMSE 9.5081 cm | 6.54 s *
Epoch  69 | train MSE 0.010111 m2 | val MAE 7.0313 cm | val RMSE 9.5176 cm | 6.45 s
Epoch  70 | train MSE 0.010115 m2 | val MAE 7.0179 cm | val RMSE 9.5239 cm | 6.45 s
Epoch  71 | train MSE 0.010099 m2 | val MAE 7.0105 cm | val RMSE 9.4724 cm | 6.45 s *
Epoch  72 | train MSE 0.010079 m2 | val MAE 6.9869 cm | val RMSE 9.4419 cm | 7.07 s *
Epoch  73 | train MSE 0.010007 m2 | val MAE 7.2089 cm | val RMSE 9.5550 cm | 6.32 s
Epoch  74 | train MSE 0.010105 m2 | val MAE 7.0842 cm | val RMSE 9.5064 cm | 6.37 s
Epoch  75 | train MSE 0.010003 m2 | val MAE 7.0409 cm | val RMSE 9.4911 cm | 6.35 s
Epoch  76 | train MSE 0.009988 m2 | val MAE 6.9789 cm | val RMSE 9.3899 cm | 6.50 s *
Epoch  77 | train MSE 0.009890 m2 | val MAE 7.0916 cm | val RMSE 9.4610 cm | 6.74 s
Epoch  78 | train MSE 0.009907 m2 | val MAE 6.9527 cm | val RMSE 9.4375 cm | 6.25 s
Epoch  79 | train MSE 0.009924 m2 | val MAE 6.9590 cm | val RMSE 9.4166 cm | 6.18 s
Epoch  80 | train MSE 0.009903 m2 | val MAE 7.1738 cm | val RMSE 9.5488 cm | 6.14 s
Epoch  81 | train MSE 0.009883 m2 | val MAE 7.1182 cm | val RMSE 9.4708 cm | 6.65 s
Epoch  82 | train MSE 0.009862 m2 | val MAE 6.9068 cm | val RMSE 9.3496 cm | 5.92 s *
Epoch  83 | train MSE 0.009770 m2 | val MAE 7.0762 cm | val RMSE 9.4187 cm | 6.03 s
Epoch  84 | train MSE 0.009791 m2 | val MAE 6.9547 cm | val RMSE 9.3348 cm | 6.27 s *
Epoch  85 | train MSE 0.009723 m2 | val MAE 7.1294 cm | val RMSE 9.6172 cm | 6.42 s
Epoch  86 | train MSE 0.009836 m2 | val MAE 7.9279 cm | val RMSE 10.4275 cm | 6.35 s
Epoch  87 | train MSE 0.010101 m2 | val MAE 6.9384 cm | val RMSE 9.3537 cm | 6.17 s
Epoch  88 | train MSE 0.009684 m2 | val MAE 7.1538 cm | val RMSE 9.5158 cm | 6.25 s
Epoch  89 | train MSE 0.009696 m2 | val MAE 7.0913 cm | val RMSE 9.4579 cm | 6.48 s
Epoch  90 | train MSE 0.009658 m2 | val MAE 7.0596 cm | val RMSE 9.4214 cm | 6.17 s
Epoch  91 | train MSE 0.009750 m2 | val MAE 7.0160 cm | val RMSE 9.3565 cm | 6.11 s
Epoch  92 | train MSE 0.009648 m2 | val MAE 7.7511 cm | val RMSE 10.0141 cm | 6.05 s
Epoch  93 | train MSE 0.009877 m2 | val MAE 7.1090 cm | val RMSE 9.5160 cm | 5.76 s
Epoch  94 | train MSE 0.009716 m2 | val MAE 6.8392 cm | val RMSE 9.2212 cm | 5.91 s *
Epoch  95 | train MSE 0.009501 m2 | val MAE 6.8568 cm | val RMSE 9.2542 cm | 6.91 s
Epoch  96 | train MSE 0.009527 m2 | val MAE 6.8277 cm | val RMSE 9.2051 cm | 6.06 s *
Epoch  97 | train MSE 0.009464 m2 | val MAE 6.9010 cm | val RMSE 9.2727 cm | 5.74 s
Epoch  98 | train MSE 0.009476 m2 | val MAE 6.9191 cm | val RMSE 9.2814 cm | 5.80 s
Epoch  99 | train MSE 0.009448 m2 | val MAE 6.8312 cm | val RMSE 9.1948 cm | 5.82 s *
Epoch 100 | train MSE 0.009418 m2 | val MAE 7.0153 cm | val RMSE 9.3375 cm | 6.34 s
Epoch 101 | train MSE 0.009489 m2 | val MAE 6.7738 cm | val RMSE 9.2187 cm | 6.71 s
Epoch 102 | train MSE 0.009447 m2 | val MAE 6.7853 cm | val RMSE 9.1854 cm | 6.73 s *
